maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 0.575 11.95 9.792 13.847 6.5 9.85 13.2
2 0.466 10.581 10.12 11.053 6.3 9.5 12.7
3 1.335 9.634 10.42 8.2 5.4 9.35 13.3
4 2.592 8.79 8.901 5.506 3.9 8.45 13
5 1.348 4.925 2.754 3.406 2.6 7.35 12.1
6 -3.448 -5.022 -12.965 1.185 2.4 8.55 14.7
7 -7.023 -10.425 -18.146 1.116 2.7 9.55 16.4
8 -7.13 -7.978 -11.815 2.888 2.7 9.6 16.5
9 -1.725 1.982 0.819 3.941 3.2 9.1 15
10 2.369 10.706 8.666 7.632 4.2 9.25 14.3
11 2.819 13.425 11.041 11.316 5.6 9.8 14
12 1.285 13.181 9.763 14.937 6.7 10.1 13.5
