maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 -0.441 4.163 0.808 6.637 4.8 7.2 9.6
2 0.934 6.247 5.318 6.072 4.6 6.9 9.2
3 1.016 6.867 5.662 5.654 4.5 7.75 11
4 2.6 7.74 4.002 4.757 3.4 7.4 11.4
5 5.759 9.868 3.486 3.076 2.1 6.05 10
6 5.561 4.552 -6.272 -0.019 1.9 6.5 11.1
7 1.28 -0.276 -10.438 1.653 2.4 8.4 14.4
8 -0.789 -0.326 -7.891 3.278 2.6 9.35 16.1
9 0.061 4.455 0.296 4.917 3.3 9.6 15.9
10 1.836 9.674 5.611 8.008 4.4 9.7 15
11 1.464 9.821 4.793 9.624 5.6 9.7 13.8
12 0.006 6.541 1.387 8.516 5.5 8.35 11.2
