maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 1.919 17.368 14.337 15.611 8.9 13.55 18.2
2 2.719 18.212 17.95 13.455 7.9 12 16.1
3 3.642 15.986 17.952 9.789 7.2 12.65 18.1
4 2.682 8.951 8.33 5.383 5.9 13.15 20.4
5 0.388 3.063 -1.407 3.317 4.1 11.9 19.7
6 -6.699 -8.24 -14.283 1.212 3.4 12.2 21
7 -11.308 -15.627 -20.94 -0.122 3.6 13 22.4
8 -11.693 -14.745 -17.827 1.572 3.8 13.65 23.5
9 -6.274 -2.797 -4.05 6.422 4.6 13.55 22.5
10 -1.143 8.574 5.665 11.25 6.3 14.05 21.8
11 1.767 16.074 12.072 15.716 8.2 14.4 20.6
12 2.013 17.896 13.762 17.508 9.6 14.65 19.7
