maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 -0.966 7.036 2.93 9.192 7.7 11.7 15.7
2 0.043 8.03 4.921 8.692 7.4 11.25 15.1
3 1.838 8.712 5.565 7.403 6.7 11.7 16.7
4 3.179 9.928 6.227 6.903 5.1 11.3 17.5
5 5.707 14.684 9.133 7.706 3.6 10.35 17.1
6 5.633 10.975 2.192 5.54 2.9 10.5 18.1
7 -0.008 -0.237 -9.679 3.24 3.2 11.5 19.8
8 -3.911 -4.513 -11.088 3.409 3.5 12.7 21.9
9 -3.38 -0.537 -1.59 4.566 4.8 13.95 23.1
10 -1.449 3.57 0.85 6.8 6.7 14.9 23.1
11 -1.033 6.904 0.815 10.884 8.2 14.5 20.8
12 -0.716 9.083 2.961 11.854 8.5 12.95 17.4
