regio maand P01 P05 P50 P95 P99
NZK 1 3.021 2.7 1.278 0.958 0.908
NZK 2 3.881 2.938 1.392 1.053 1.062
NZK 3 2.848 2.107 1.235 0.938 0.945
NZK 4 1.762 1.416 0.998 0.764 0.757
NZK 5 1.319 1.182 0.879 0.874 0.994
NZK 6 1.107 1.111 1.024 1.377 1.508
NZK 7 1.013 1.078 1.145 1.578 1.629
NZK 8 1.117 1.121 1.187 1.532 1.509
NZK 9 1.369 1.165 1.164 1.274 1.377
NZK 10 1.452 1.243 1.187 1.07 1.167
NZK 11 1.268 1.34 1.21 0.93 0.921
NZK 12 1.634 1.962 1.198 0.896 0.811
NWN 1 3.952 3.062 1.372 0.931 0.877
NWN 2 4.505 3.266 1.45 1.034 1.081
NWN 3 2.964 2.25 1.224 0.918 1.004
NWN 4 1.756 1.422 0.948 0.716 0.776
NWN 5 1.309 1.165 0.829 0.92 1.049
NWN 6 1.141 1.132 1.075 1.633 1.756
NWN 7 1.056 1.099 1.246 1.898 1.962
NWN 8 1.189 1.177 1.28 1.799 1.774
NWN 9 1.527 1.258 1.213 1.376 1.447
NWN 10 1.639 1.348 1.238 1.138 1.161
NWN 11 1.387 1.473 1.276 1.022 0.901
NWN 12 2.195 2.244 1.296 0.932 0.783
ZWN 1 4.316 3.209 1.378 0.914 0.837
ZWN 2 5.065 3.421 1.444 0.988 1.027
ZWN 3 3.438 2.391 1.171 0.906 0.978
ZWN 4 1.971 1.479 0.877 0.765 0.766
ZWN 5 1.371 1.151 0.801 1.037 1.097
ZWN 6 1.152 1.114 1.146 1.777 1.857
ZWN 7 1.041 1.105 1.358 2.073 2.081
ZWN 8 1.179 1.198 1.388 1.997 1.982
ZWN 9 1.517 1.322 1.249 1.523 1.576
ZWN 10 1.559 1.407 1.244 1.252 1.202
ZWN 11 1.188 1.454 1.295 1.105 0.983
ZWN 12 2.156 2.287 1.323 0.948 0.831
ZON 1 4.358 3.41 1.445 0.992 0.913
ZON 2 4.926 3.469 1.529 1.063 1.046
ZON 3 3.355 2.367 1.217 0.934 0.97
ZON 4 2.091 1.522 0.889 0.758 0.74
ZON 5 1.446 1.166 0.811 1.034 1.025
ZON 6 1.115 1.09 1.237 1.769 1.879
ZON 7 1.051 1.097 1.492 2.099 2.182
ZON 8 1.224 1.193 1.497 2.103 2.207
ZON 9 1.57 1.286 1.291 1.622 1.73
ZON 10 1.548 1.357 1.29 1.269 1.272
ZON 11 1.189 1.433 1.37 1.136 1.112
ZON 12 2.234 2.445 1.407 1.027 0.969
MON 1 4.529 3.379 1.494 0.987 0.862
MON 2 4.955 3.432 1.567 1.094 0.99
MON 3 3.198 2.359 1.259 0.959 0.985
MON 4 1.906 1.522 0.923 0.788 0.79
MON 5 1.362 1.215 0.796 1.038 1.031
MON 6 1.133 1.148 1.148 1.654 1.735
MON 7 1.057 1.106 1.368 1.895 2.023
MON 8 1.234 1.19 1.386 1.894 2.049
MON 9 1.565 1.301 1.247 1.548 1.639
MON 10 1.598 1.37 1.268 1.261 1.232
MON 11 1.387 1.452 1.358 1.125 1.026
MON 12 2.533 2.448 1.423 1.01 0.871
NON 1 4.139 3.217 1.507 1.011 0.887
NON 2 4.465 3.376 1.602 1.11 1.018
NON 3 3.118 2.354 1.325 0.925 0.989
NON 4 1.913 1.548 0.995 0.73 0.828
NON 5 1.355 1.257 0.842 0.973 1.09
NON 6 1.125 1.173 1.103 1.551 1.678
NON 7 1.064 1.131 1.287 1.761 1.876
NON 8 1.241 1.202 1.308 1.762 1.827
NON 9 1.482 1.286 1.225 1.474 1.5
NON 10 1.537 1.349 1.261 1.214 1.145
NON 11 1.493 1.419 1.339 1.081 0.942
NON 12 2.583 2.31 1.412 0.994 0.849
NLD 1 4.264 3.267 1.457 0.978 0.877
NLD 2 4.757 3.401 1.539 1.069 1.025
NLD 3 3.226 2.355 1.254 0.929 0.983
NLD 4 1.944 1.515 0.935 0.752 0.786
NLD 5 1.373 1.204 0.819 1.004 1.063
NLD 6 1.13 1.138 1.142 1.66 1.766
NLD 7 1.054 1.113 1.35 1.92 2.006
NLD 8 1.22 1.196 1.37 1.898 1.963
NLD 9 1.525 1.293 1.245 1.517 1.578
NLD 10 1.565 1.364 1.262 1.235 1.198
NLD 11 1.353 1.439 1.335 1.099 0.995
NLD 12 2.394 2.35 1.387 0.989 0.867
