regio maand P01 P05 P50 P95 P99
NZK 1 2.181 1.813 1.066 1.012 1
NZK 2 2.984 2.118 1.014 0.914 0.928
NZK 3 3.044 1.91 1.13 1.141 1.245
NZK 4 2.155 1.47 1.116 1.2 1.358
NZK 5 1.445 1.196 0.951 0.973 1.23
NZK 6 1.051 1.012 0.944 1.082 1.436
NZK 7 1.032 1.039 1.13 1.374 1.65
NZK 8 1.275 1.257 1.279 1.563 1.755
NZK 9 1.765 1.524 1.403 1.522 1.53
NZK 10 1.991 1.644 1.465 1.383 1.255
NZK 11 2.008 1.749 1.459 1.4 1.272
NZK 12 1.862 1.789 1.245 1.269 1.267
NWN 1 2.593 1.933 1.095 0.94 0.869
NWN 2 3.421 2.249 1.061 0.866 0.834
NWN 3 3.545 2.069 1.149 1.141 1.342
NWN 4 2.507 1.55 1.078 1.189 1.525
NWN 5 1.568 1.189 0.862 0.894 1.273
NWN 6 1.031 1.002 0.929 1.09 1.548
NWN 7 1.023 1.085 1.191 1.467 1.873
NWN 8 1.329 1.34 1.354 1.715 2.001
NWN 9 1.899 1.614 1.46 1.606 1.568
NWN 10 2.051 1.703 1.501 1.399 1.165
NWN 11 1.918 1.795 1.487 1.382 1.164
NWN 12 1.988 1.899 1.265 1.21 1.147
ZWN 1 2.985 2.068 1.08 0.925 0.788
ZWN 2 3.999 2.478 1.079 0.821 0.828
ZWN 3 4.032 2.143 1.173 1.162 1.443
ZWN 4 2.694 1.57 1.052 1.247 1.627
ZWN 5 1.601 1.203 0.796 0.939 1.337
ZWN 6 0.976 0.968 0.922 1.142 1.741
ZWN 7 0.993 1.05 1.246 1.617 2.121
ZWN 8 1.361 1.331 1.42 1.847 2.134
ZWN 9 2.043 1.671 1.496 1.724 1.635
ZWN 10 2.242 1.78 1.508 1.425 1.209
ZWN 11 2.067 1.822 1.472 1.331 1.17
ZWN 12 2.188 1.936 1.24 1.183 1.067
ZON 1 3.358 2.404 1.108 0.998 0.745
ZON 2 4.178 2.673 1.127 0.89 0.827
ZON 3 4.274 2.283 1.229 1.257 1.547
ZON 4 2.99 1.711 1.066 1.363 1.681
ZON 5 1.716 1.26 0.767 1.059 1.347
ZON 6 0.956 0.991 0.896 1.199 1.701
ZON 7 0.966 1.065 1.262 1.628 2.095
ZON 8 1.308 1.327 1.467 1.898 2.252
ZON 9 2.021 1.626 1.535 1.771 1.757
ZON 10 2.325 1.786 1.525 1.436 1.255
ZON 11 2.284 1.886 1.486 1.332 1.231
ZON 12 2.502 2.184 1.268 1.254 1.092
MON 1 3.112 2.215 1.152 1.009 0.756
MON 2 3.871 2.456 1.147 0.945 0.827
MON 3 4.013 2.145 1.213 1.25 1.507
MON 4 2.777 1.619 1.074 1.3 1.623
MON 5 1.652 1.239 0.805 1.008 1.296
MON 6 1.033 1.022 0.893 1.164 1.627
MON 7 1.022 1.094 1.2 1.531 1.998
MON 8 1.34 1.347 1.394 1.828 2.177
MON 9 1.949 1.648 1.519 1.737 1.702
MON 10 2.136 1.79 1.552 1.445 1.183
MON 11 2.097 1.901 1.527 1.361 1.128
MON 12 2.407 2.146 1.312 1.234 1.065
NON 1 2.775 2.096 1.174 1.028 0.866
NON 2 3.353 2.348 1.144 0.97 0.924
NON 3 3.626 2.13 1.235 1.262 1.457
NON 4 2.654 1.623 1.14 1.307 1.535
NON 5 1.634 1.254 0.905 1.027 1.303
NON 6 1.067 1.055 0.925 1.16 1.561
NON 7 1.067 1.114 1.161 1.479 1.87
NON 8 1.349 1.346 1.344 1.745 2.079
NON 9 1.807 1.596 1.496 1.656 1.626
NON 10 1.987 1.736 1.554 1.417 1.11
NON 11 2.084 1.88 1.555 1.399 1.085
NON 12 2.391 2.066 1.356 1.277 1.121
NLD 1 2.972 2.158 1.133 0.992 0.808
NLD 2 3.735 2.446 1.122 0.914 0.861
NLD 3 3.89 2.16 1.211 1.23 1.47
NLD 4 2.734 1.624 1.092 1.295 1.594
NLD 5 1.641 1.238 0.836 1.001 1.314
NLD 6 1.019 1.016 0.913 1.157 1.634
NLD 7 1.021 1.087 1.206 1.54 1.983
NLD 8 1.34 1.339 1.391 1.804 2.132
NLD 9 1.928 1.626 1.504 1.702 1.662
NLD 10 2.135 1.76 1.535 1.427 1.176
NLD 11 2.111 1.867 1.516 1.366 1.145
NLD 12 2.344 2.065 1.302 1.241 1.098
