regio maand P01 P05 P50 P95 P99
NZK 1 4.46 3.791 2.162 1.792 1.675
NZK 2 4.576 3.716 2.029 1.625 1.592
NZK 3 3.605 2.896 2.072 1.637 1.67
NZK 4 2.769 2.374 1.974 1.642 1.672
NZK 5 2.205 2.059 1.773 1.635 1.72
NZK 6 1.936 1.889 1.805 2.033 2.19
NZK 7 1.869 1.847 1.935 2.266 2.505
NZK 8 2.017 1.974 2.018 2.424 2.712
NZK 9 2.419 2.191 1.972 2.261 2.523
NZK 10 2.768 2.459 2.057 2.086 2.169
NZK 11 3.001 2.779 2.225 2.047 2.017
NZK 12 3.767 3.412 2.312 1.983 1.881
NWN 1 5.319 4.175 2.282 1.759 1.597
NWN 2 5.319 4.04 2.092 1.586 1.595
NWN 3 4.042 3.047 2.101 1.616 1.78
NWN 4 2.997 2.405 1.95 1.611 1.787
NWN 5 2.219 2.028 1.722 1.679 1.877
NWN 6 1.891 1.905 1.871 2.327 2.567
NWN 7 1.911 1.913 2.075 2.664 3.001
NWN 8 2.148 2.07 2.165 2.786 3.232
NWN 9 2.564 2.302 2.061 2.399 2.815
NWN 10 2.854 2.592 2.115 2.152 2.251
NWN 11 3.048 2.981 2.305 2.083 1.97
NWN 12 4.235 3.744 2.462 1.981 1.787
ZWN 1 5.831 4.34 2.303 1.73 1.466
ZWN 2 6.09 4.191 2.062 1.508 1.482
ZWN 3 4.612 3.191 2.069 1.551 1.823
ZWN 4 3.164 2.479 1.935 1.613 1.901
ZWN 5 2.227 2.022 1.721 1.791 2.054
ZWN 6 1.947 1.911 1.99 2.657 3.009
ZWN 7 1.959 1.979 2.285 3.201 3.621
ZWN 8 2.185 2.134 2.356 3.309 3.621
ZWN 9 2.612 2.287 2.126 2.701 2.91
ZWN 10 2.893 2.552 2.141 2.268 2.296
ZWN 11 3.115 2.985 2.355 2.099 1.998
ZWN 12 4.452 3.869 2.539 1.984 1.723
ZON 1 6.308 4.696 2.459 1.827 1.52
ZON 2 6.403 4.441 2.2 1.64 1.57
ZON 3 4.888 3.297 2.141 1.689 1.962
ZON 4 3.49 2.544 1.944 1.746 1.999
ZON 5 2.438 2.022 1.715 1.909 2.095
ZON 6 2.022 1.901 2.117 2.819 3.103
ZON 7 1.962 1.949 2.483 3.469 3.865
ZON 8 2.187 2.109 2.555 3.583 4.008
ZON 9 2.591 2.236 2.182 2.797 3.055
ZON 10 2.859 2.461 2.169 2.277 2.26
ZON 11 3.289 2.916 2.454 2.109 1.997
ZON 12 4.953 4.11 2.706 2.045 1.788
MON 1 6.223 4.567 2.473 1.829 1.498
MON 2 6.233 4.328 2.23 1.649 1.516
MON 3 4.544 3.216 2.178 1.734 1.86
MON 4 3.18 2.513 1.955 1.801 1.906
MON 5 2.292 2.055 1.696 1.88 1.976
MON 6 1.982 1.95 1.982 2.572 2.78
MON 7 1.943 1.967 2.266 2.99 3.36
MON 8 2.196 2.129 2.351 3.092 3.602
MON 9 2.612 2.308 2.122 2.592 2.982
MON 10 2.839 2.537 2.16 2.258 2.314
MON 11 3.163 2.948 2.422 2.141 2.059
MON 12 4.838 4.028 2.685 2.051 1.78
NON 1 5.985 4.476 2.472 1.864 1.567
NON 2 5.855 4.269 2.259 1.685 1.544
NON 3 4.371 3.208 2.23 1.751 1.815
NON 4 3.11 2.552 2.011 1.811 1.819
NON 5 2.266 2.126 1.728 1.821 1.829
NON 6 1.974 1.964 1.903 2.337 2.448
NON 7 1.936 1.932 2.118 2.616 2.909
NON 8 2.164 2.084 2.204 2.735 3.237
NON 9 2.473 2.339 2.062 2.385 2.821
NON 10 2.646 2.638 2.138 2.169 2.241
NON 11 3.057 3.014 2.392 2.143 2.048
NON 12 4.871 3.975 2.653 2.073 1.836
NLD 1 6.003 4.482 2.422 1.816 1.529
NLD 2 6.027 4.278 2.191 1.628 1.537
NLD 3 4.515 3.21 2.162 1.687 1.849
NLD 4 3.194 2.518 1.969 1.742 1.881
NLD 5 2.291 2.066 1.718 1.83 1.951
NLD 6 1.972 1.934 1.972 2.53 2.748
NLD 7 1.944 1.95 2.242 2.959 3.314
NLD 8 2.177 2.106 2.324 3.073 3.519
NLD 9 2.555 2.3 2.108 2.562 2.91
NLD 10 2.789 2.565 2.147 2.224 2.27
NLD 11 3.135 2.975 2.395 2.123 2.024
NLD 12 4.749 3.97 2.631 2.039 1.791
