regio maand P01 P05 P50 P95 P99
NZK 1 4.649 3.419 2.889 2.733 2.746
NZK 2 5.011 3.726 2.713 2.604 2.709
NZK 3 4.928 3.788 2.808 2.753 2.948
NZK 4 4.163 3.424 2.674 2.525 2.68
NZK 5 3.344 2.991 2.426 2.141 2.262
NZK 6 2.725 2.677 2.476 2.266 2.394
NZK 7 2.729 2.753 2.828 2.934 3.145
NZK 8 3.161 3.108 3.199 3.658 3.963
NZK 9 3.768 3.64 3.469 3.919 4.181
NZK 10 4.02 3.913 3.55 3.614 3.717
NZK 11 3.999 3.81 3.52 3.404 3.458
NZK 12 4.216 3.407 3.248 3.091 3.057
NWN 1 5.698 3.808 2.921 2.68 2.624
NWN 2 6.113 4.153 2.757 2.612 2.775
NWN 3 5.361 4.038 2.855 2.774 3.186
NWN 4 4.269 3.502 2.673 2.484 2.904
NWN 5 3.309 2.987 2.41 2.03 2.342
NWN 6 2.708 2.709 2.571 2.35 2.479
NWN 7 2.809 2.852 3.029 3.309 3.542
NWN 8 3.29 3.242 3.39 4.135 4.657
NWN 9 3.859 3.762 3.576 4.151 4.594
NWN 10 4.145 4.051 3.639 3.632 3.726
NWN 11 4.204 4.011 3.602 3.331 3.284
NWN 12 4.868 3.735 3.316 2.998 2.836
ZWN 1 6.229 4.008 2.892 2.695 2.519
ZWN 2 6.509 4.355 2.729 2.637 2.676
ZWN 3 5.488 4.103 2.794 2.827 3.22
ZWN 4 4.317 3.501 2.571 2.542 3.057
ZWN 5 3.285 2.935 2.349 2.143 2.598
ZWN 6 2.68 2.681 2.659 2.652 2.822
ZWN 7 2.804 2.905 3.246 3.835 3.942
ZWN 8 3.376 3.335 3.64 4.691 4.972
ZWN 9 4.006 3.841 3.69 4.534 4.713
ZWN 10 4.247 4.144 3.647 3.786 3.779
ZWN 11 4.356 4.15 3.572 3.328 3.342
ZWN 12 5.283 3.899 3.311 2.997 2.841
ZON 1 7.041 4.488 3.016 2.828 2.695
ZON 2 7.114 4.8 2.879 2.843 2.877
ZON 3 5.776 4.235 2.886 3.086 3.342
ZON 4 4.531 3.551 2.585 2.76 3.12
ZON 5 3.345 2.958 2.338 2.38 2.759
ZON 6 2.648 2.722 2.709 2.932 3.081
ZON 7 2.813 2.95 3.383 4.153 4.219
ZON 8 3.4 3.374 3.832 5.019 5.351
ZON 9 3.946 3.842 3.81 4.677 5.011
ZON 10 4.187 4.166 3.694 3.8 3.885
ZON 11 4.477 4.196 3.6 3.319 3.436
ZON 12 5.935 4.149 3.4 3.083 2.986
MON 1 6.963 4.313 3.072 2.746 2.536
MON 2 7.056 4.629 2.912 2.75 2.809
MON 3 5.691 4.218 2.921 2.972 3.313
MON 4 4.431 3.619 2.626 2.671 3.003
MON 5 3.392 3.05 2.345 2.302 2.477
MON 6 2.722 2.723 2.59 2.667 2.805
MON 7 2.806 2.897 3.148 3.63 3.996
MON 8 3.365 3.359 3.583 4.485 5.123
MON 9 3.957 3.885 3.72 4.446 4.845
MON 10 4.263 4.153 3.719 3.781 3.838
MON 11 4.474 4.084 3.672 3.366 3.374
MON 12 5.804 4.004 3.449 3.028 2.792
NON 1 6.58 4.206 3.121 2.742 2.632
NON 2 6.757 4.516 2.961 2.741 2.828
NON 3 5.906 4.229 2.991 2.942 3.229
NON 4 4.676 3.684 2.715 2.652 2.87
NON 5 3.551 3.131 2.408 2.259 2.35
NON 6 2.82 2.755 2.536 2.456 2.687
NON 7 2.812 2.868 2.995 3.219 3.723
NON 8 3.304 3.29 3.414 4.08 4.765
NON 9 3.781 3.819 3.662 4.29 4.746
NON 10 4.002 4.083 3.737 3.751 3.86
NON 11 4.204 3.993 3.712 3.387 3.365
NON 12 5.585 3.908 3.487 3.031 2.834
NLD 1 6.592 4.208 3.032 2.744 2.604
NLD 2 6.771 4.53 2.876 2.73 2.801
NLD 3 5.714 4.189 2.91 2.939 3.261
NLD 4 4.5 3.597 2.644 2.64 2.98
NLD 5 3.41 3.033 2.372 2.248 2.497
NLD 6 2.732 2.724 2.604 2.611 2.79
NLD 7 2.809 2.894 3.147 3.592 3.89
NLD 8 3.346 3.324 3.565 4.45 4.966
NLD 9 3.893 3.834 3.7 4.426 4.794
NLD 10 4.144 4.12 3.7 3.764 3.836
NLD 11 4.336 4.08 3.648 3.355 3.37
NLD 12 5.573 3.956 3.416 3.031 2.857
