regio maand P01 P05 P50 P95 P99
NZK 1 1.707 1.925 0.987 0.728 0.653
NZK 2 2.227 2.087 0.966 0.74 0.729
NZK 3 2.111 1.572 0.885 0.748 0.847
NZK 4 1.534 1.077 0.751 0.635 0.762
NZK 5 1.111 0.864 0.658 0.607 0.751
NZK 6 0.856 0.799 0.706 0.863 1.004
NZK 7 0.795 0.795 0.794 1.011 1.146
NZK 8 0.887 0.886 0.869 1.038 1.205
NZK 9 1.164 1.006 0.908 1.038 1.14
NZK 10 1.359 1.095 0.914 0.913 0.919
NZK 11 1.284 1.161 0.98 0.872 0.795
NZK 12 1.175 1.535 1.027 0.81 0.716
NWN 1 2.182 2.129 1.038 0.736 0.608
NWN 2 2.56 2.315 0.998 0.751 0.731
NWN 3 2.202 1.71 0.873 0.724 0.974
NWN 4 1.562 1.114 0.701 0.556 0.863
NWN 5 1.103 0.872 0.599 0.538 0.701
NWN 6 0.861 0.817 0.705 0.957 0.951
NWN 7 0.843 0.819 0.835 1.177 1.26
NWN 8 0.97 0.936 0.918 1.162 1.409
NWN 9 1.291 1.086 0.942 1.063 1.18
NWN 10 1.537 1.175 0.939 0.921 0.836
NWN 11 1.442 1.226 1.013 0.905 0.702
NWN 12 1.489 1.655 1.089 0.841 0.648
ZWN 1 2.662 2.223 1.01 0.739 0.603
ZWN 2 2.85 2.386 0.977 0.713 0.695
ZWN 3 2.25 1.742 0.839 0.745 0.97
ZWN 4 1.576 1.124 0.649 0.601 0.883
ZWN 5 1.136 0.86 0.563 0.543 0.773
ZWN 6 0.878 0.79 0.723 0.924 1.061
ZWN 7 0.822 0.801 0.88 1.243 1.38
ZWN 8 0.962 0.921 0.962 1.28 1.484
ZWN 9 1.301 1.094 0.965 1.153 1.199
ZWN 10 1.487 1.193 0.949 0.983 0.872
ZWN 11 1.407 1.231 1.014 0.971 0.807
ZWN 12 1.851 1.714 1.078 0.881 0.733
ZON 1 2.991 2.361 1.086 0.777 0.694
ZON 2 2.987 2.407 1.048 0.757 0.719
ZON 3 2.314 1.754 0.865 0.834 0.92
ZON 4 1.669 1.194 0.641 0.724 0.825
ZON 5 1.173 0.886 0.545 0.697 0.736
ZON 6 0.825 0.761 0.748 1.015 1.145
ZON 7 0.779 0.786 0.936 1.281 1.501
ZON 8 0.929 0.894 1.006 1.332 1.582
ZON 9 1.224 1.036 0.982 1.16 1.158
ZON 10 1.365 1.157 0.967 0.967 0.826
ZON 11 1.45 1.224 1.043 0.986 0.85
ZON 12 2.177 1.823 1.146 0.931 0.851
MON 1 2.718 2.357 1.121 0.775 0.634
MON 2 2.809 2.469 1.074 0.766 0.716
MON 3 2.261 1.797 0.903 0.797 0.923
MON 4 1.582 1.176 0.692 0.698 0.798
MON 5 1.13 0.893 0.576 0.707 0.669
MON 6 0.857 0.814 0.714 1.034 1.024
MON 7 0.819 0.819 0.871 1.209 1.387
MON 8 0.979 0.925 0.96 1.242 1.513
MON 9 1.277 1.085 0.973 1.142 1.166
MON 10 1.47 1.203 0.969 0.968 0.791
MON 11 1.556 1.231 1.056 0.96 0.728
MON 12 2.027 1.78 1.167 0.903 0.721
NON 1 2.269 2.276 1.144 0.769 0.702
NON 2 2.467 2.395 1.1 0.781 0.783
NON 3 2.379 1.727 0.956 0.784 0.9
NON 4 1.73 1.137 0.762 0.658 0.775
NON 5 1.171 0.878 0.633 0.656 0.747
NON 6 0.828 0.829 0.714 0.98 1.083
NON 7 0.812 0.852 0.848 1.144 1.321
NON 8 0.969 0.957 0.938 1.201 1.421
NON 9 1.172 1.087 0.958 1.147 1.113
NON 10 1.35 1.196 0.959 0.968 0.755
NON 11 1.445 1.227 1.059 0.939 0.696
NON 12 1.789 1.736 1.185 0.873 0.74
NLD 1 2.553 2.284 1.095 0.764 0.66
NLD 2 2.707 2.402 1.054 0.758 0.736
NLD 3 2.302 1.748 0.9 0.783 0.925
NLD 4 1.646 1.152 0.699 0.658 0.815
NLD 5 1.151 0.879 0.59 0.641 0.731
NLD 6 0.845 0.805 0.721 0.983 1.069
NLD 7 0.811 0.821 0.873 1.202 1.374
NLD 8 0.961 0.931 0.957 1.243 1.479
NLD 9 1.236 1.078 0.965 1.142 1.154
NLD 10 1.419 1.188 0.959 0.967 0.806
NLD 11 1.463 1.228 1.044 0.956 0.754
NLD 12 1.893 1.75 1.146 0.889 0.748
