regio maand P01 P05 P50 P95 P99
NZK 1 2.491 2.066 1.122 1.011 0.929
NZK 2 3.307 2.322 1.122 0.938 0.838
NZK 3 3.268 1.94 1.276 1.158 1.143
NZK 4 2.23 1.53 1.285 1.207 1.247
NZK 5 1.564 1.335 1.146 1.057 1.145
NZK 6 1.206 1.171 1.109 1.141 1.301
NZK 7 1.173 1.175 1.229 1.371 1.514
NZK 8 1.392 1.366 1.348 1.485 1.593
NZK 9 1.875 1.655 1.489 1.464 1.439
NZK 10 2.113 1.754 1.574 1.398 1.27
NZK 11 2.093 1.742 1.569 1.417 1.292
NZK 12 2.06 1.875 1.303 1.268 1.25
NWN 1 3.473 2.413 1.133 0.963 0.795
NWN 2 4.275 2.683 1.18 0.877 0.725
NWN 3 4.072 2.162 1.347 1.154 1.162
NWN 4 2.561 1.633 1.327 1.205 1.294
NWN 5 1.612 1.405 1.172 1.005 1.135
NWN 6 1.265 1.257 1.228 1.143 1.312
NWN 7 1.254 1.289 1.377 1.447 1.589
NWN 8 1.53 1.517 1.478 1.564 1.691
NWN 9 1.994 1.793 1.605 1.542 1.516
NWN 10 2.105 1.824 1.697 1.469 1.31
NWN 11 2.039 1.795 1.679 1.455 1.265
NWN 12 2.634 2.104 1.348 1.248 1.17
ZWN 1 3.418 2.626 1.117 0.957 0.732
ZWN 2 4.506 2.932 1.225 0.887 0.641
ZWN 3 4.414 2.164 1.389 1.203 1.049
ZWN 4 2.704 1.581 1.319 1.266 1.153
ZWN 5 1.662 1.348 1.122 1.061 1.043
ZWN 6 1.236 1.187 1.184 1.144 1.575
ZWN 7 1.271 1.268 1.373 1.456 1.963
ZWN 8 1.622 1.538 1.494 1.562 1.9
ZWN 9 2.167 1.821 1.603 1.513 1.492
ZWN 10 2.292 1.82 1.68 1.407 1.203
ZWN 11 2.229 1.766 1.651 1.386 1.167
ZWN 12 2.616 2.229 1.297 1.22 1.105
ZON 1 3.561 3.346 1.151 1.015 0.767
ZON 2 4.401 3.501 1.274 0.941 0.674
ZON 3 4.701 2.511 1.471 1.251 1.054
ZON 4 3.109 1.763 1.371 1.302 1.161
ZON 5 1.769 1.41 1.099 1.114 1.166
ZON 6 1.169 1.194 1.154 1.226 1.714
ZON 7 1.234 1.248 1.401 1.565 2.083
ZON 8 1.607 1.529 1.548 1.68 2.052
ZON 9 2.2 1.787 1.63 1.585 1.613
ZON 10 2.471 1.78 1.677 1.473 1.279
ZON 11 2.645 1.843 1.66 1.457 1.287
ZON 12 2.906 2.773 1.335 1.31 1.205
MON 1 3.577 3.113 1.188 1.038 0.777
MON 2 4.386 3.266 1.27 0.981 0.767
MON 3 4.677 2.296 1.435 1.247 1.228
MON 4 3.043 1.655 1.364 1.254 1.333
MON 5 1.872 1.463 1.16 1.07 1.26
MON 6 1.328 1.29 1.23 1.178 1.581
MON 7 1.324 1.301 1.417 1.481 1.876
MON 8 1.628 1.568 1.524 1.607 1.897
MON 9 2.073 1.881 1.626 1.572 1.571
MON 10 2.218 1.885 1.711 1.477 1.286
MON 11 2.351 1.856 1.701 1.467 1.229
MON 12 2.912 2.59 1.392 1.299 1.135
NON 1 3.165 2.702 1.247 1.108 0.814
NON 2 3.637 2.948 1.304 1.057 0.867
NON 3 4.14 2.311 1.457 1.29 1.27
NON 4 2.894 1.722 1.419 1.284 1.372
NON 5 1.873 1.498 1.263 1.083 1.339
NON 6 1.426 1.354 1.284 1.193 1.532
NON 7 1.398 1.375 1.404 1.474 1.77
NON 8 1.594 1.58 1.492 1.577 1.797
NON 9 1.962 1.839 1.626 1.547 1.535
NON 10 2.159 1.876 1.716 1.477 1.29
NON 11 2.38 1.824 1.698 1.494 1.23
NON 12 2.875 2.322 1.423 1.366 1.115
NLD 1 3.391 2.864 1.184 1.038 0.782
NLD 2 4.138 3.089 1.266 0.975 0.758
NLD 3 4.389 2.31 1.434 1.248 1.171
NLD 4 2.896 1.685 1.373 1.272 1.276
NLD 5 1.791 1.438 1.178 1.075 1.216
NLD 6 1.31 1.27 1.226 1.182 1.563
NLD 7 1.317 1.308 1.398 1.486 1.87
NLD 8 1.603 1.554 1.507 1.597 1.874
NLD 9 2.067 1.829 1.619 1.55 1.545
NLD 10 2.249 1.844 1.698 1.461 1.27
NLD 11 2.372 1.821 1.681 1.458 1.23
NLD 12 2.825 2.422 1.37 1.306 1.138
