regio maand P01 P05 P50 P95 P99
NZK 1 5.49 3.904 3.034 2.77 2.786
NZK 2 5.817 4.135 2.897 2.618 2.626
NZK 3 5.299 3.941 3.118 2.746 2.794
NZK 4 4.314 3.63 3.032 2.658 2.706
NZK 5 3.559 3.299 2.778 2.446 2.421
NZK 6 2.924 2.939 2.73 2.546 2.501
NZK 7 2.879 2.944 2.982 3.053 3.129
NZK 8 3.285 3.254 3.291 3.635 3.812
NZK 9 3.887 3.814 3.583 3.855 4.068
NZK 10 4.093 4.079 3.716 3.626 3.735
NZK 11 4.091 3.928 3.731 3.464 3.502
NZK 12 4.802 3.717 3.425 3.144 3.133
NWN 1 7.306 4.554 3.102 2.703 2.655
NWN 2 7.994 4.779 3.029 2.612 2.578
NWN 3 6.271 4.142 3.307 2.821 2.83
NWN 4 4.458 3.684 3.211 2.721 2.869
NWN 5 3.476 3.388 2.959 2.502 2.629
NWN 6 3.028 3.149 2.992 2.73 2.724
NWN 7 3.101 3.234 3.28 3.367 3.451
NWN 8 3.49 3.507 3.548 3.958 4.181
NWN 9 3.981 3.99 3.808 4.069 4.277
NWN 10 4.198 4.291 3.96 3.759 3.806
NWN 11 4.254 4.213 3.933 3.504 3.429
NWN 12 5.808 4.208 3.531 3.069 2.944
ZWN 1 7.952 4.861 3.086 2.72 2.641
ZWN 2 8.175 5.08 3.042 2.584 2.469
ZWN 3 6.02 4.212 3.316 2.852 2.723
ZWN 4 4.359 3.718 3.208 2.804 2.801
ZWN 5 3.438 3.392 2.949 2.597 2.639
ZWN 6 3.093 3.161 3.022 2.785 2.862
ZWN 7 3.263 3.303 3.381 3.521 3.768
ZWN 8 3.745 3.661 3.7 4.178 4.566
ZWN 9 4.111 4.162 3.904 4.216 4.532
ZWN 10 4.208 4.399 3.971 3.768 3.899
ZWN 11 4.437 4.266 3.889 3.449 3.464
ZWN 12 6.48 4.374 3.514 3.111 3.033
ZON 1 8.577 6.106 3.162 2.8 2.819
ZON 2 8.888 6.173 3.178 2.717 2.621
ZON 3 6.716 4.42 3.46 2.991 2.824
ZON 4 4.687 3.676 3.271 2.892 2.891
ZON 5 3.546 3.398 2.937 2.7 2.847
ZON 6 3.253 3.316 3.018 3.037 3.243
ZON 7 3.362 3.418 3.452 3.856 4.154
ZON 8 3.782 3.729 3.813 4.506 4.902
ZON 9 4.143 4.134 3.955 4.381 4.655
ZON 10 4.352 4.308 3.981 3.855 3.932
ZON 11 4.867 4.224 3.92 3.526 3.562
ZON 12 7.147 5.077 3.565 3.186 3.212
MON 1 8.44 5.607 3.199 2.784 2.688
MON 2 8.818 5.721 3.185 2.777 2.658
MON 3 6.614 4.235 3.463 3.021 2.913
MON 4 4.639 3.639 3.304 2.863 2.974
MON 5 3.727 3.449 3.01 2.632 2.83
MON 6 3.271 3.3 3.068 2.862 3.011
MON 7 3.274 3.36 3.407 3.516 3.755
MON 8 3.752 3.701 3.709 4.159 4.478
MON 9 4.257 4.218 3.926 4.286 4.455
MON 10 4.429 4.366 4.029 3.908 3.879
MON 11 4.744 4.152 4.002 3.564 3.448
MON 12 6.876 4.71 3.616 3.122 2.974
NON 1 7.874 5.346 3.219 2.852 2.861
NON 2 8.181 5.484 3.184 2.801 2.819
NON 3 6.715 4.243 3.499 2.983 2.964
NON 4 4.941 3.72 3.382 2.877 2.921
NON 5 3.964 3.594 3.12 2.667 2.763
NON 6 3.404 3.451 3.121 2.8 2.93
NON 7 3.326 3.453 3.387 3.328 3.49
NON 8 3.704 3.7 3.646 3.89 4.13
NON 9 4.086 4.118 3.898 4.086 4.251
NON 10 4.251 4.285 4.024 3.844 3.819
NON 11 4.651 4.066 4.006 3.603 3.506
NON 12 6.656 4.558 3.63 3.205 3.096
NLD 1 8.075 5.382 3.171 2.792 2.761
NLD 2 8.414 5.526 3.145 2.724 2.666
NLD 3 6.532 4.264 3.435 2.954 2.871
NLD 4 4.685 3.694 3.298 2.85 2.898
NLD 5 3.698 3.472 3.017 2.64 2.755
NLD 6 3.26 3.316 3.061 2.845 2.969
NLD 7 3.293 3.382 3.392 3.499 3.711
NLD 8 3.72 3.681 3.69 4.114 4.427
NLD 9 4.123 4.135 3.907 4.201 4.42
NLD 10 4.289 4.325 4 3.835 3.864
NLD 11 4.635 4.163 3.96 3.543 3.488
NLD 12 6.683 4.621 3.585 3.157 3.071
