regio maand P01 P05 P50 P95 P99
NZK 1 1.823 2.088 1.058 0.743 0.599
NZK 2 2.293 2.265 1.058 0.75 0.595
NZK 3 2.175 1.641 1.028 0.765 0.735
NZK 4 1.546 1.128 0.901 0.696 0.762
NZK 5 1.154 0.952 0.793 0.675 0.827
NZK 6 0.941 0.907 0.796 0.85 1.007
NZK 7 0.874 0.88 0.851 0.965 1.055
NZK 8 0.951 0.942 0.903 0.997 1.054
NZK 9 1.21 1.06 0.924 0.997 1.039
NZK 10 1.421 1.135 0.935 0.902 0.874
NZK 11 1.41 1.152 1.026 0.883 0.775
NZK 12 1.402 1.592 1.096 0.828 0.698
NWN 1 2.488 2.477 1.115 0.72 0.57
NWN 2 2.925 2.694 1.119 0.73 0.511
NWN 3 2.563 1.78 1.091 0.758 0.684
NWN 4 1.599 1.1 0.943 0.692 0.76
NWN 5 1.095 0.918 0.818 0.68 0.813
NWN 6 1.018 0.983 0.866 0.93 1.03
NWN 7 0.99 0.977 0.956 1.091 1.17
NWN 8 1.039 1.037 1.003 1.093 1.157
NWN 9 1.248 1.158 0.995 1.019 1.043
NWN 10 1.514 1.22 0.994 0.92 0.849
NWN 11 1.567 1.2 1.077 0.912 0.77
NWN 12 1.893 1.777 1.169 0.824 0.698
ZWN 1 2.889 2.626 1.084 0.755 0.545
ZWN 2 2.938 2.801 1.106 0.737 0.439
ZWN 3 2.318 1.779 1.079 0.788 0.601
ZWN 4 1.485 1.059 0.918 0.749 0.631
ZWN 5 1.071 0.882 0.791 0.772 0.716
ZWN 6 1.013 0.963 0.858 0.959 1.137
ZWN 7 1.005 0.978 0.961 1.093 1.359
ZWN 8 1.077 1.04 1.015 1.086 1.287
ZWN 9 1.281 1.145 1.002 1.009 1.037
ZWN 10 1.471 1.196 0.999 0.934 0.85
ZWN 11 1.595 1.195 1.075 0.96 0.823
ZWN 12 2.318 1.88 1.145 0.875 0.716
ZON 1 3.043 3.015 1.123 0.79 0.684
ZON 2 2.951 2.975 1.146 0.782 0.507
ZON 3 2.503 1.833 1.105 0.876 0.645
ZON 4 1.69 1.095 0.922 0.828 0.704
ZON 5 1.159 0.903 0.762 0.831 0.836
ZON 6 1.071 0.986 0.823 1.038 1.278
ZON 7 1.038 0.979 0.955 1.183 1.457
ZON 8 1.093 1.029 1.026 1.137 1.362
ZON 9 1.264 1.086 1.009 0.976 1.06
ZON 10 1.426 1.131 1.003 0.899 0.861
ZON 11 1.692 1.251 1.1 0.986 0.924
ZON 12 2.543 2.274 1.183 0.933 0.921
MON 1 2.809 2.935 1.16 0.769 0.634
MON 2 2.844 3.019 1.178 0.794 0.498
MON 3 2.476 1.882 1.152 0.839 0.641
MON 4 1.614 1.096 0.981 0.773 0.752
MON 5 1.138 0.905 0.82 0.772 0.89
MON 6 1.096 1.019 0.857 0.978 1.152
MON 7 1.115 1.025 0.959 1.115 1.237
MON 8 1.18 1.077 1.008 1.085 1.215
MON 9 1.319 1.154 1.002 0.993 1.033
MON 10 1.541 1.203 1.012 0.92 0.806
MON 11 1.771 1.201 1.099 0.949 0.801
MON 12 2.347 2.084 1.196 0.884 0.801
NON 1 2.403 2.746 1.17 0.816 0.71
NON 2 2.533 2.842 1.189 0.838 0.626
NON 3 2.487 1.825 1.189 0.827 0.719
NON 4 1.68 1.105 1.053 0.738 0.807
NON 5 1.183 0.922 0.902 0.699 0.923
NON 6 1.1 1.029 0.893 0.904 1.129
NON 7 1.121 1.071 0.967 1.081 1.185
NON 8 1.177 1.119 1.015 1.091 1.163
NON 9 1.263 1.124 1.012 1.01 1.018
NON 10 1.486 1.176 1.02 0.914 0.784
NON 11 1.718 1.194 1.109 0.927 0.754
NON 12 2.122 2.003 1.203 0.902 0.813
NLD 1 2.696 2.786 1.138 0.783 0.646
NLD 2 2.776 2.881 1.157 0.791 0.533
NLD 3 2.456 1.827 1.137 0.825 0.665
NLD 4 1.623 1.093 0.98 0.76 0.74
NLD 5 1.141 0.908 0.832 0.749 0.852
NLD 6 1.071 1.003 0.864 0.955 1.153
NLD 7 1.072 1.02 0.961 1.109 1.276
NLD 8 1.132 1.072 1.015 1.098 1.232
NLD 9 1.273 1.13 1.006 1.001 1.034
NLD 10 1.483 1.18 1.009 0.915 0.82
NLD 11 1.69 1.208 1.096 0.946 0.809
NLD 12 2.265 2.027 1.183 0.893 0.801
