regio maand P01 P05 P50 P95 P99
NZK 1 2.799 2.511 1.214 1.053 1.133
NZK 2 3.599 2.735 1.319 1.248 1.433
NZK 3 2.736 2.064 1.124 1.047 1.016
NZK 4 1.741 1.401 0.858 0.726 0.635
NZK 5 1.242 1.113 0.762 0.833 0.888
NZK 6 1.029 1.013 0.981 1.426 1.539
NZK 7 1.008 1.014 1.135 1.625 1.664
NZK 8 1.082 1.073 1.191 1.577 1.562
NZK 9 1.232 1.094 1.138 1.311 1.5
NZK 10 1.305 1.133 1.124 1.136 1.387
NZK 11 1.21 1.281 1.129 0.97 1.156
NZK 12 1.526 1.893 1.121 0.924 0.915
NWN 1 3.584 2.686 1.293 1.052 1.197
NWN 2 4.129 2.932 1.372 1.347 1.6
NWN 3 2.863 2.26 1.078 1.091 1.14
NWN 4 1.753 1.467 0.759 0.606 0.592
NWN 5 1.199 1.05 0.67 0.803 0.812
NWN 6 1.027 0.936 1.017 1.63 1.775
NWN 7 1.092 0.954 1.226 1.9 2.055
NWN 8 1.186 1.053 1.258 1.864 1.991
NWN 9 1.267 1.12 1.141 1.444 1.769
NWN 10 1.401 1.181 1.117 1.224 1.575
NWN 11 1.391 1.365 1.149 1.055 1.333
NWN 12 2.073 2.021 1.183 0.941 0.979
ZWN 1 3.783 2.734 1.325 1.088 1.163
ZWN 2 4.474 3.077 1.368 1.352 1.576
ZWN 3 3.058 2.446 1.016 1.115 1.15
ZWN 4 1.834 1.516 0.659 0.68 0.571
ZWN 5 1.216 1.004 0.628 0.89 0.827
ZWN 6 0.953 0.909 1.105 1.758 1.822
ZWN 7 1.025 0.976 1.389 2.118 2.078
ZWN 8 1.152 1.056 1.425 2.148 2.009
ZWN 9 1.16 1.075 1.169 1.631 1.883
ZWN 10 1.177 1.138 1.083 1.305 1.799
ZWN 11 1.108 1.31 1.139 1.131 1.581
ZWN 12 1.976 2.006 1.239 1.025 1.034
ZON 1 3.914 2.818 1.443 1.201 1.355
ZON 2 4.486 2.98 1.501 1.477 1.727
ZON 3 2.935 2.344 1.044 1.183 1.114
ZON 4 1.819 1.532 0.618 0.697 0.528
ZON 5 1.19 1 0.6 0.886 0.799
ZON 6 0.971 0.882 1.209 1.712 1.784
ZON 7 1.072 1.021 1.556 2.076 2.052
ZON 8 1.137 1.117 1.591 2.195 2.109
ZON 9 1.013 1.102 1.256 1.693 1.914
ZON 10 0.983 1.177 1.114 1.337 1.684
ZON 11 0.97 1.337 1.162 1.22 1.507
ZON 12 2.062 2.083 1.32 1.138 1.12
MON 1 4.091 2.843 1.438 1.123 1.253
MON 2 4.35 2.951 1.503 1.414 1.666
MON 3 2.8 2.234 1.08 1.199 1.154
MON 4 1.743 1.458 0.673 0.747 0.557
MON 5 1.194 1.027 0.589 0.928 0.777
MON 6 1.003 0.952 1.09 1.651 1.733
MON 7 1.059 1.019 1.372 1.938 1.932
MON 8 1.142 1.073 1.409 2.011 1.995
MON 9 1.149 1.079 1.197 1.606 1.886
MON 10 1.172 1.179 1.136 1.32 1.704
MON 11 1.26 1.373 1.199 1.17 1.531
MON 12 2.45 2.119 1.315 1.06 1.1
NON 1 3.743 2.885 1.411 1.104 1.272
NON 2 4.023 3.021 1.488 1.423 1.674
NON 3 2.831 2.224 1.08 1.201 1.045
NON 4 1.806 1.466 0.688 0.716 0.446
NON 5 1.235 1.096 0.575 0.885 0.72
NON 6 0.988 0.996 0.986 1.61 1.57
NON 7 1.009 1.004 1.226 1.855 1.741
NON 8 1.146 1.062 1.289 1.906 1.895
NON 9 1.222 1.091 1.166 1.581 1.851
NON 10 1.33 1.151 1.14 1.325 1.585
NON 11 1.584 1.324 1.2 1.113 1.327
NON 12 2.455 2.089 1.283 0.98 1.025
NLD 1 3.823 2.82 1.396 1.119 1.256
NLD 2 4.261 3.004 1.461 1.412 1.658
NLD 3 2.891 2.293 1.061 1.17 1.108
NLD 4 1.799 1.486 0.672 0.7 0.52
NLD 5 1.213 1.043 0.6 0.885 0.775
NLD 6 0.985 0.944 1.072 1.665 1.705
NLD 7 1.041 1.001 1.346 1.964 1.925
NLD 8 1.151 1.072 1.391 2.021 1.982
NLD 9 1.163 1.09 1.188 1.603 1.867
NLD 10 1.211 1.161 1.122 1.314 1.666
NLD 11 1.299 1.337 1.177 1.142 1.449
NLD 12 2.249 2.073 1.279 1.03 1.055
