regio maand P01 P05 P50 P95 P99
NZK 1 6.3 5.206 3.352 2.904 2.961
NZK 2 6.036 4.796 2.991 2.683 2.916
NZK 3 4.412 3.787 2.79 2.757 2.925
NZK 4 3.607 3.287 2.702 2.556 2.73
NZK 5 3.198 2.958 2.49 2.399 2.743
NZK 6 3.005 2.843 2.717 2.879 3.127
NZK 7 3.011 2.953 3.212 3.606 3.676
NZK 8 3.281 3.201 3.519 4.154 4.316
NZK 9 3.597 3.393 3.403 4.061 4.419
NZK 10 3.712 3.633 3.357 3.591 3.753
NZK 11 3.872 3.953 3.412 3.332 3.382
NZK 12 5.285 4.794 3.49 3.183 3.122
NWN 1 7.097 5.648 3.409 2.802 3.096
NWN 2 6.685 5.233 2.956 2.537 3.143
NWN 3 4.628 4.013 2.671 2.665 3.245
NWN 4 3.618 3.311 2.532 2.461 3.016
NWN 5 3.092 2.836 2.312 2.405 3.078
NWN 6 2.961 2.778 2.862 3.259 3.793
NWN 7 3.092 3.009 3.599 4.353 4.51
NWN 8 3.379 3.307 3.886 4.983 5.127
NWN 9 3.542 3.446 3.534 4.461 4.82
NWN 10 3.705 3.701 3.401 3.663 3.793
NWN 11 4.053 4.114 3.47 3.268 3.283
NWN 12 5.831 5.11 3.6 3.102 3.129
ZWN 1 7.345 5.798 3.428 2.794 3.078
ZWN 2 6.918 5.391 2.897 2.557 3.243
ZWN 3 4.738 4.147 2.583 2.851 3.575
ZWN 4 3.647 3.365 2.484 2.724 3.533
ZWN 5 3.091 2.798 2.371 2.788 3.787
ZWN 6 2.91 2.749 3.227 3.948 4.607
ZWN 7 3.081 3.068 4.16 5.175 5.151
ZWN 8 3.426 3.393 4.393 5.757 5.543
ZWN 9 3.614 3.507 3.72 4.949 5.264
ZWN 10 3.74 3.727 3.409 3.828 4.118
ZWN 11 4.025 4.153 3.429 3.261 3.377
ZWN 12 5.903 5.235 3.64 3.089 3.081
ZON 1 7.861 5.99 3.642 2.954 3.353
ZON 2 7.266 5.461 3.066 2.847 3.61
ZON 3 4.808 4.127 2.672 3.201 3.76
ZON 4 3.697 3.366 2.511 3.029 3.564
ZON 5 3.131 2.738 2.39 3.049 3.983
ZON 6 2.997 2.736 3.435 4.151 4.91
ZON 7 3.126 3.15 4.514 5.358 5.469
ZON 8 3.367 3.49 4.723 5.969 5.891
ZON 9 3.685 3.579 3.857 5.199 5.418
ZON 10 3.948 3.803 3.441 4.02 4.124
ZON 11 4.282 4.215 3.49 3.429 3.352
ZON 12 6.28 5.361 3.837 3.199 3.158
MON 1 8.224 6.004 3.702 2.92 3.225
MON 2 7.5 5.472 3.161 2.736 3.436
MON 3 4.765 4.047 2.725 3.003 3.515
MON 4 3.6 3.296 2.519 2.852 3.188
MON 5 3.071 2.768 2.292 2.751 3.43
MON 6 3.047 2.775 3.064 3.684 4.361
MON 7 3.164 3.069 3.97 4.938 5.082
MON 8 3.421 3.359 4.249 5.559 5.678
MON 9 3.618 3.443 3.684 4.874 5.315
MON 10 3.758 3.674 3.446 3.843 4.082
MON 11 4.087 4.081 3.528 3.33 3.352
MON 12 6.453 5.285 3.85 3.176 3.151
NON 1 8.029 5.726 3.7 2.961 3.179
NON 2 7.434 5.42 3.201 2.77 3.344
NON 3 4.927 4.125 2.775 2.968 3.299
NON 4 3.727 3.364 2.536 2.731 2.909
NON 5 3.187 2.889 2.235 2.479 3.05
NON 6 3.046 2.832 2.794 3.136 3.812
NON 7 3.086 3.002 3.575 4.237 4.638
NON 8 3.416 3.296 3.901 4.976 5.483
NON 9 3.666 3.521 3.544 4.634 5.209
NON 10 3.794 3.788 3.422 3.761 4.01
NON 11 4.224 4.079 3.547 3.327 3.365
NON 12 6.47 5.002 3.829 3.213 3.15
NLD 1 7.817 5.835 3.614 2.907 3.193
NLD 2 7.247 5.416 3.091 2.717 3.376
NLD 3 4.81 4.104 2.702 2.969 3.476
NLD 4 3.672 3.347 2.519 2.783 3.213
NLD 5 3.128 2.818 2.308 2.687 3.438
NLD 6 3.007 2.784 3.052 3.591 4.266
NLD 7 3.111 3.056 3.936 4.762 4.957
NLD 8 3.409 3.364 4.21 5.415 5.571
NLD 9 3.641 3.508 3.662 4.829 5.245
NLD 10 3.802 3.751 3.425 3.831 4.051
NLD 11 4.158 4.123 3.504 3.331 3.359
NLD 12 6.263 5.176 3.78 3.171 3.137
