regio maand P01 P05 P50 P95 P99
NZK 1 3.375 2.344 1.813 1.618 1.713
NZK 2 3.704 2.778 1.684 1.677 1.798
NZK 3 3.226 2.614 1.603 1.88 2.101
NZK 4 2.455 2.067 1.482 1.667 1.927
NZK 5 1.871 1.677 1.307 1.442 1.708
NZK 6 1.606 1.47 1.303 1.471 1.651
NZK 7 1.564 1.483 1.448 1.619 1.802
NZK 8 1.687 1.667 1.645 1.885 2.055
NZK 9 2.053 1.993 1.888 2.039 2.041
NZK 10 2.39 2.286 2.022 1.976 1.828
NZK 11 2.611 2.365 2.046 1.998 1.982
NZK 12 2.949 2.184 1.958 1.827 1.93
NWN 1 3.957 2.509 1.856 1.599 1.738
NWN 2 4.222 3.02 1.685 1.717 1.831
NWN 3 3.566 2.83 1.514 1.955 2.161
NWN 4 2.658 2.14 1.312 1.644 1.971
NWN 5 1.936 1.649 1.095 1.306 1.677
NWN 6 1.622 1.433 1.147 1.318 1.707
NWN 7 1.588 1.487 1.397 1.547 2.005
NWN 8 1.713 1.698 1.659 2.012 2.424
NWN 9 1.998 2.028 1.891 2.312 2.197
NWN 10 2.39 2.372 2.029 2.147 1.754
NWN 11 2.777 2.514 2.072 2.044 1.925
NWN 12 3.382 2.318 2.016 1.789 1.935
ZWN 1 4.34 2.745 1.856 1.563 1.743
ZWN 2 4.67 3.299 1.648 1.668 1.924
ZWN 3 3.867 2.96 1.441 1.957 2.384
ZWN 4 2.727 2.099 1.205 1.721 2.207
ZWN 5 1.894 1.517 0.968 1.407 1.885
ZWN 6 1.612 1.343 1.13 1.503 1.955
ZWN 7 1.616 1.461 1.512 1.924 2.364
ZWN 8 1.668 1.699 1.808 2.393 2.804
ZWN 9 1.928 2.021 1.964 2.445 2.445
ZWN 10 2.401 2.366 2.037 2.172 1.905
ZWN 11 2.796 2.511 2.068 2.083 1.978
ZWN 12 3.516 2.426 2.044 1.802 1.901
ZON 1 4.508 2.952 1.952 1.77 1.918
ZON 2 4.734 3.397 1.793 1.951 2.148
ZON 3 3.952 2.992 1.511 2.11 2.474
ZON 4 2.84 2.16 1.218 1.803 2.211
ZON 5 1.887 1.527 0.951 1.476 1.961
ZON 6 1.578 1.345 1.082 1.62 2.118
ZON 7 1.63 1.498 1.51 2.088 2.649
ZON 8 1.689 1.734 1.879 2.552 3.218
ZON 9 1.955 2.015 2.028 2.453 2.713
ZON 10 2.468 2.346 2.058 2.17 2.041
ZON 11 2.893 2.499 2.086 2.111 2.012
ZON 12 3.688 2.561 2.08 1.891 1.943
MON 1 4.373 2.823 1.97 1.685 1.727
MON 2 4.452 3.284 1.801 1.832 1.935
MON 3 3.701 2.946 1.533 2.042 2.411
MON 4 2.763 2.153 1.241 1.767 2.164
MON 5 1.953 1.584 0.97 1.427 1.851
MON 6 1.596 1.404 1.026 1.447 1.912
MON 7 1.594 1.519 1.365 1.798 2.35
MON 8 1.717 1.75 1.724 2.28 2.857
MON 9 1.976 2.04 1.965 2.337 2.515
MON 10 2.444 2.383 2.069 2.116 2.009
MON 11 2.909 2.56 2.117 2.03 1.993
MON 12 3.757 2.539 2.111 1.824 1.876
NON 1 4.404 2.763 2.002 1.703 1.674
NON 2 4.37 3.237 1.86 1.855 1.876
NON 3 3.466 2.961 1.623 2.007 2.248
NON 4 2.611 2.212 1.342 1.667 2.007
NON 5 1.908 1.668 1.047 1.375 1.783
NON 6 1.581 1.429 1.025 1.442 1.82
NON 7 1.557 1.484 1.28 1.638 2.143
NON 8 1.74 1.709 1.61 2.01 2.597
NON 9 2.016 2.048 1.903 2.182 2.372
NON 10 2.444 2.373 2.06 2.085 1.987
NON 11 2.959 2.534 2.126 2.027 1.989
NON 12 3.891 2.485 2.119 1.81 1.839
NLD 1 4.365 2.787 1.947 1.676 1.748
NLD 2 4.5 3.271 1.782 1.821 1.944
NLD 3 3.688 2.954 1.542 2.019 2.339
NLD 4 2.709 2.165 1.271 1.72 2.109
NLD 5 1.912 1.596 1.003 1.404 1.839
NLD 6 1.594 1.392 1.067 1.476 1.909
NLD 7 1.592 1.489 1.393 1.798 2.306
NLD 8 1.71 1.719 1.724 2.235 2.785
NLD 9 1.978 2.033 1.949 2.323 2.461
NLD 10 2.436 2.368 2.054 2.129 1.966
NLD 11 2.891 2.526 2.101 2.056 1.986
NLD 12 3.71 2.486 2.088 1.824 1.885
