maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 1.16 7.956 7.279 7.712 5 7.55 10.1
2 0.239 5.431 6.876 4.681 5.1 7.65 10.2
3 0.988 4.712 4.866 3.461 4 6.85 9.7
4 1.575 4.05 2.8 2.893 2.7 5.9 9.1
5 -0.275 -0.125 -2.728 1.383 1.9 5.35 8.8
6 -4.025 -7.475 -12.578 -1.242 1.8 6.35 10.9
7 -6.363 -9.097 -12.928 -0.167 2 7.1 12.2
8 -6.675 -6.566 -7.057 2.583 2.1 7.35 12.6
9 -1.664 1.364 2.614 4.183 2.4 6.8 11.2
10 2.202 9.307 8.408 6.818 3.1 6.65 10.2
11 2.749 13.604 10.914 11.061 4.2 7.2 10.2
12 2.126 12.765 10.032 11.918 5 7.45 9.9
