maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 -0.993 1.983 -0.605 5.02 3.9 5.8 7.7
2 -0.396 3.155 0.945 4.535 3.5 5.25 7
3 2.476 6.461 2.11 4.987 2.8 4.8 6.8
4 3.092 5.446 0.76 3.506 2.2 4.75 7.3
5 1.782 3.18 -0.069 1.744 1.7 4.7 7.7
6 0.545 0.331 -5.086 -0.081 1.5 5.15 8.8
7 0.258 1.088 -4.798 1.581 1.6 5.7 9.8
8 0.173 3.269 -0.116 3.875 1.8 6.2 10.6
9 0.228 6.121 5.491 5.708 2.3 6.45 10.6
10 1.409 9.168 6.559 7.152 2.9 6.3 9.7
11 1.25 8.162 3.712 7.315 3.7 6.35 9
12 0.076 5.449 1.873 7.27 4.3 6.4 8.5
