maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 -1.129 12.732 9.966 14.04 12.133 18.55 24.967
2 -1.614 16.039 17.901 17.773 11.667 17.85 24.033
3 0.942 19.087 20.004 18.445 10.617 18.783 26.95
4 4.522 16.762 11.961 12.462 8.167 18.433 28.7
5 5.327 11.534 0.688 6.746 6.067 17.967 29.867
6 1.204 2.684 -11.766 3.298 5.25 19.367 33.483
7 -5.796 -6.163 -19.054 3.608 5.95 22.108 38.267
8 -10.604 -10.258 -17.348 4.571 6.767 25.433 44.1
9 -8.498 -2.225 -4.181 8.754 8.867 27.008 45.15
10 -3.74 9.296 5.462 15.477 11.317 25.842 40.367
11 -1.585 12.643 6.097 17.74 13.417 23.917 34.417
12 -1.195 12.834 6.505 16.006 13.65 21 28.35
