maand wdf ave P50w P90w p99.lower p99.centr p99.upper
JAN 1.187 9.113 8.497 8.524 3.9 5.8 7.7
FEB 1.456 9.207 8.697 7.767 3.7 5.55 7.4
MAR 2.527 8.094 5.981 5.298 3.1 5.25 7.4
APR 3.918 6.803 2.35 2.864 2.1 4.55 7
MAY 3.481 3.753 -2.156 0.663 1.5 4.1 6.7
JUN 1.862 0.422 -7.149 -0.639 1.4 4.7 8
JUL 0.284 -0.046 -6.158 0.596 1.6 5.45 9.3
AUG -0.844 0.976 -1.405 2.668 1.7 5.95 10.2
SEP -0.844 3.153 3.521 4.116 2 5.7 9.4
OCT 0.705 6.421 6.571 4.663 2.5 5.45 8.4
NOV 1.377 7.965 6.883 6.157 3.5 6.05 8.6
DEC 1.294 9.954 8.631 9.233 4.3 6.4 8.5
