regio maand P01 P05 P50 P95 P99
NZK 1 3.641 3.079 1.607 1.224 1.189
NZK 2 4.319 3.341 1.636 1.171 1.182
NZK 3 3.206 2.471 1.568 1.192 1.129
NZK 4 2.022 1.712 1.37 1.23 1.169
NZK 5 1.468 1.383 1.206 1.308 1.428
NZK 6 1.247 1.27 1.326 1.652 1.963
NZK 7 1.295 1.299 1.457 1.844 2.098
NZK 8 1.447 1.428 1.497 1.9 2.062
NZK 9 1.766 1.599 1.411 1.622 1.739
NZK 10 2.05 1.763 1.441 1.403 1.489
NZK 11 2.149 1.916 1.569 1.347 1.364
NZK 12 2.561 2.426 1.614 1.305 1.27
NWN 1 4.394 3.302 1.703 1.212 1.165
NWN 2 5.134 3.592 1.707 1.13 1.202
NWN 3 3.778 2.669 1.576 1.112 1.15
NWN 4 2.259 1.771 1.31 1.149 1.168
NWN 5 1.495 1.375 1.126 1.333 1.489
NWN 6 1.264 1.29 1.386 1.928 2.247
NWN 7 1.357 1.368 1.587 2.211 2.477
NWN 8 1.532 1.526 1.613 2.216 2.417
NWN 9 1.925 1.695 1.462 1.727 1.867
NWN 10 2.213 1.866 1.486 1.461 1.511
NWN 11 2.221 2.038 1.64 1.401 1.309
NWN 12 2.868 2.616 1.718 1.328 1.226
ZWN 1 4.657 3.405 1.703 1.235 1.097
ZWN 2 5.806 3.76 1.697 1.113 1.092
ZWN 3 4.353 2.806 1.544 1.107 1.114
ZWN 4 2.419 1.828 1.269 1.204 1.218
ZWN 5 1.49 1.364 1.104 1.473 1.674
ZWN 6 1.255 1.287 1.472 2.087 2.625
ZWN 7 1.338 1.389 1.745 2.416 2.82
ZWN 8 1.551 1.537 1.755 2.402 2.646
ZWN 9 2.016 1.684 1.498 1.841 1.982
ZWN 10 2.241 1.829 1.485 1.535 1.585
ZWN 11 2.058 1.951 1.646 1.467 1.36
ZWN 12 2.72 2.607 1.74 1.375 1.232
ZON 1 4.798 3.704 1.831 1.365 1.089
ZON 2 5.871 3.978 1.836 1.25 1.048
ZON 3 4.644 2.867 1.587 1.183 1.003
ZON 4 2.773 1.884 1.242 1.227 1.07
ZON 5 1.681 1.389 1.079 1.519 1.578
ZON 6 1.281 1.319 1.568 2.219 2.821
ZON 7 1.344 1.389 1.901 2.579 3.152
ZON 8 1.572 1.507 1.891 2.559 2.928
ZON 9 2.018 1.646 1.534 1.851 2.035
ZON 10 2.163 1.795 1.52 1.505 1.63
ZON 11 1.987 1.918 1.707 1.483 1.443
ZON 12 2.769 2.757 1.832 1.469 1.264
MON 1 5.027 3.622 1.859 1.326 1.115
MON 2 5.816 3.858 1.862 1.227 1.097
MON 3 4.32 2.857 1.635 1.19 1.099
MON 4 2.508 1.89 1.285 1.247 1.197
MON 5 1.588 1.431 1.087 1.48 1.6
MON 6 1.317 1.362 1.453 2.063 2.479
MON 7 1.367 1.404 1.721 2.357 2.687
MON 8 1.56 1.528 1.735 2.383 2.573
MON 9 1.942 1.71 1.49 1.851 1.91
MON 10 2.177 1.879 1.516 1.548 1.563
MON 11 2.257 2.053 1.713 1.504 1.425
MON 12 3.255 2.842 1.853 1.448 1.272
NON 1 4.878 3.56 1.87 1.323 1.144
NON 2 5.311 3.791 1.858 1.24 1.15
NON 3 3.957 2.828 1.654 1.198 1.111
NON 4 2.382 1.899 1.335 1.226 1.179
NON 5 1.559 1.472 1.139 1.402 1.561
NON 6 1.328 1.377 1.416 1.906 2.309
NON 7 1.402 1.41 1.624 2.168 2.472
NON 8 1.596 1.531 1.643 2.221 2.375
NON 9 1.881 1.699 1.467 1.775 1.804
NON 10 2.106 1.912 1.512 1.503 1.464
NON 11 2.373 2.16 1.711 1.485 1.341
NON 12 3.532 2.882 1.863 1.435 1.243
NLD 1 4.802 3.547 1.815 1.305 1.121
NLD 2 5.586 3.816 1.811 1.206 1.114
NLD 3 4.213 2.824 1.61 1.17 1.093
NLD 4 2.477 1.87 1.293 1.22 1.168
NLD 5 1.57 1.419 1.11 1.446 1.586
NLD 6 1.297 1.339 1.459 2.029 2.491
NLD 7 1.367 1.398 1.713 2.329 2.706
NLD 8 1.569 1.527 1.725 2.347 2.57
NLD 9 1.947 1.687 1.489 1.812 1.906
NLD 10 2.166 1.863 1.507 1.514 1.54
NLD 11 2.21 2.044 1.692 1.478 1.376
NLD 12 3.125 2.775 1.82 1.423 1.249
