regio maand P01 P05 P50 P95 P99
NZK 1 1.85 1.65 0.937 0.758 0.575
NZK 2 2.57 1.998 0.913 0.706 0.66
NZK 3 2.463 1.703 0.8 0.726 0.862
NZK 4 1.708 1.206 0.719 0.834 0.98
NZK 5 1.203 0.978 0.738 0.904 1.04
NZK 6 0.887 0.901 0.863 1.088 1.232
NZK 7 0.839 0.872 0.887 1.062 1.189
NZK 8 1.029 0.966 0.887 0.995 1.15
NZK 9 1.391 1.15 0.966 1.045 1.12
NZK 10 1.36 1.134 1.019 0.969 0.908
NZK 11 1.066 1.008 0.989 0.879 0.734
NZK 12 1.206 1.295 0.967 0.824 0.62
NWN 1 2.006 1.797 0.966 0.768 0.518
NWN 2 2.725 2.215 0.929 0.69 0.655
NWN 3 2.455 1.824 0.782 0.688 1.009
NWN 4 1.666 1.181 0.688 0.856 1.207
NWN 5 1.174 0.928 0.707 0.988 1.191
NWN 6 0.867 0.91 0.905 1.265 1.327
NWN 7 0.837 0.911 0.955 1.211 1.277
NWN 8 1.099 1.048 0.942 1.08 1.225
NWN 9 1.553 1.268 1.006 1.055 1.067
NWN 10 1.527 1.233 1.059 0.993 0.765
NWN 11 1.118 1.066 1.029 0.92 0.617
NWN 12 1.164 1.365 1.011 0.858 0.536
ZWN 1 2.243 1.74 0.941 0.745 0.504
ZWN 2 3.173 2.225 0.919 0.658 0.582
ZWN 3 2.748 1.896 0.741 0.713 0.991
ZWN 4 1.761 1.233 0.629 0.917 1.252
ZWN 5 1.201 0.941 0.676 1.058 1.254
ZWN 6 0.871 0.86 0.943 1.328 1.459
ZWN 7 0.839 0.875 1.004 1.35 1.474
ZWN 8 1.097 1.045 0.974 1.222 1.434
ZWN 9 1.583 1.31 1.01 1.127 1.043
ZWN 10 1.576 1.28 1.046 1.009 0.751
ZWN 11 1.092 1.085 0.999 0.91 0.678
ZWN 12 1.115 1.328 0.978 0.836 0.591
ZON 1 2.244 1.806 0.989 0.802 0.541
ZON 2 2.971 2.175 0.964 0.681 0.506
ZON 3 2.727 1.867 0.749 0.741 0.93
ZON 4 1.911 1.286 0.626 0.939 1.207
ZON 5 1.287 0.998 0.679 1.055 1.212
ZON 6 0.853 0.889 0.96 1.348 1.423
ZON 7 0.823 0.876 1.04 1.409 1.483
ZON 8 1.113 1.036 1.017 1.299 1.476
ZON 9 1.681 1.309 1.042 1.084 0.984
ZON 10 1.693 1.308 1.068 0.903 0.677
ZON 11 1.272 1.166 1.002 0.839 0.712
ZON 12 1.242 1.445 1.007 0.882 0.705
MON 1 2.215 1.848 1.04 0.834 0.498
MON 2 2.902 2.236 1.003 0.735 0.535
MON 3 2.649 1.879 0.785 0.745 0.946
MON 4 1.792 1.252 0.66 0.95 1.172
MON 5 1.241 0.987 0.681 1.07 1.175
MON 6 0.897 0.919 0.918 1.286 1.371
MON 7 0.863 0.903 0.993 1.255 1.422
MON 8 1.159 1.056 0.988 1.168 1.454
MON 9 1.626 1.32 1.034 1.128 1.067
MON 10 1.581 1.305 1.071 0.988 0.669
MON 11 1.229 1.145 1.023 0.888 0.576
MON 12 1.369 1.459 1.051 0.9 0.573
NON 1 2.285 1.854 1.073 0.85 0.589
NON 2 2.751 2.262 1.036 0.761 0.651
NON 3 2.601 1.897 0.863 0.79 0.937
NON 4 1.816 1.275 0.746 0.999 1.116
NON 5 1.26 0.994 0.74 1.072 1.186
NON 6 0.915 0.934 0.904 1.188 1.346
NON 7 0.885 0.929 0.956 1.114 1.351
NON 8 1.152 1.071 0.964 1.07 1.398
NON 9 1.482 1.292 1.022 1.107 1.138
NON 10 1.471 1.299 1.063 0.972 0.684
NON 11 1.343 1.155 1.037 0.881 0.529
NON 12 1.749 1.456 1.092 0.912 0.608
NLD 1 2.234 1.816 1.016 0.811 0.54
NLD 2 2.897 2.228 0.985 0.716 0.589
NLD 3 2.649 1.882 0.797 0.749 0.953
NLD 4 1.807 1.258 0.681 0.951 1.177
NLD 5 1.244 0.979 0.703 1.058 1.203
NLD 6 0.888 0.907 0.924 1.27 1.383
NLD 7 0.857 0.903 0.987 1.25 1.404
NLD 8 1.131 1.054 0.978 1.162 1.413
NLD 9 1.57 1.3 1.024 1.107 1.071
NLD 10 1.558 1.291 1.062 0.971 0.7
NLD 11 1.245 1.134 1.02 0.884 0.609
NLD 12 1.417 1.422 1.039 0.885 0.61
