regio maand P01 P05 P50 P95 P99
NZK 1 6.704 5.509 3.555 2.977 2.871
NZK 2 6.586 5.032 3.233 2.758 2.833
NZK 3 4.877 3.859 3.096 2.76 2.892
NZK 4 3.915 3.383 2.989 2.619 2.669
NZK 5 3.426 3.121 2.745 2.509 2.646
NZK 6 3.113 3.005 2.841 2.95 2.977
NZK 7 3.061 3.079 3.219 3.593 3.535
NZK 8 3.35 3.306 3.469 4.077 4.184
NZK 9 3.72 3.544 3.409 4.031 4.453
NZK 10 3.844 3.864 3.438 3.617 3.918
NZK 11 3.956 4.165 3.541 3.379 3.491
NZK 12 5.493 5.007 3.662 3.25 3.111
NWN 1 7.702 5.962 3.727 3.016 2.861
NWN 2 7.538 5.391 3.341 2.795 2.946
NWN 3 5.328 4.014 3.15 2.767 3.134
NWN 4 4.116 3.452 2.997 2.604 2.858
NWN 5 3.484 3.122 2.738 2.555 2.889
NWN 6 3.092 3.046 3.019 3.289 3.441
NWN 7 3.092 3.199 3.549 4.189 4.096
NWN 8 3.454 3.458 3.778 4.697 4.797
NWN 9 3.877 3.676 3.538 4.384 4.949
NWN 10 4.073 4.042 3.506 3.762 4.198
NWN 11 4.222 4.45 3.622 3.397 3.542
NWN 12 6.082 5.424 3.841 3.248 3.032
ZWN 1 8.262 6.223 3.704 2.995 2.79
ZWN 2 8.027 5.571 3.278 2.793 2.934
ZWN 3 5.643 4.168 3.079 2.854 3.364
ZWN 4 4.268 3.585 2.956 2.773 3.361
ZWN 5 3.547 3.142 2.749 2.894 3.542
ZWN 6 3.143 3.016 3.24 3.939 4.205
ZWN 7 3.144 3.24 3.91 4.991 4.857
ZWN 8 3.533 3.561 4.108 5.403 5.407
ZWN 9 3.95 3.778 3.659 4.738 5.358
ZWN 10 4.016 4.087 3.498 3.88 4.387
ZWN 11 4.139 4.474 3.577 3.366 3.583
ZWN 12 6.353 5.598 3.844 3.192 2.98
ZON 1 9.19 6.631 3.839 3.1 2.941
ZON 2 8.695 5.908 3.421 2.973 3.173
ZON 3 5.933 4.301 3.191 3.102 3.552
ZON 4 4.442 3.669 3.003 2.978 3.536
ZON 5 3.581 3.145 2.756 3.08 3.939
ZON 6 3.147 3.007 3.395 4.214 4.812
ZON 7 3.175 3.249 4.187 5.355 5.402
ZON 8 3.612 3.583 4.361 5.784 5.85
ZON 9 3.988 3.761 3.778 5.027 5.546
ZON 10 3.97 4.026 3.57 4.008 4.433
ZON 11 4.295 4.415 3.655 3.428 3.673
ZON 12 7.115 5.824 3.956 3.273 3.095
MON 1 9.181 6.53 3.912 3.086 2.909
MON 2 8.744 5.845 3.498 2.919 3.079
MON 3 5.724 4.188 3.245 3.007 3.381
MON 4 4.227 3.591 3.037 2.894 3.224
MON 5 3.542 3.179 2.746 2.861 3.398
MON 6 3.183 3.069 3.152 3.696 4.066
MON 7 3.116 3.241 3.797 4.728 4.761
MON 8 3.512 3.538 4.025 5.259 5.423
MON 9 3.967 3.792 3.672 4.815 5.341
MON 10 4.039 4.104 3.596 3.979 4.363
MON 11 4.254 4.439 3.715 3.486 3.634
MON 12 7.001 5.712 4.003 3.298 3.061
NON 1 8.816 6.323 3.971 3.097 2.896
NON 2 8.525 5.794 3.569 2.893 3.023
NON 3 5.919 4.224 3.334 2.946 3.261
NON 4 4.374 3.603 3.111 2.787 2.999
NON 5 3.61 3.246 2.772 2.614 3.025
NON 6 3.204 3.107 3.002 3.199 3.515
NON 7 3.099 3.218 3.531 4.081 4.204
NON 8 3.478 3.5 3.779 4.724 5.006
NON 9 3.919 3.814 3.577 4.569 5.095
NON 10 4.067 4.207 3.593 3.897 4.229
NON 11 4.423 4.523 3.758 3.51 3.579
NON 12 7.008 5.563 4.051 3.346 3.051
NLD 1 8.748 6.369 3.864 3.068 2.884
NLD 2 8.41 5.746 3.453 2.886 3.039
NLD 3 5.774 4.202 3.227 2.956 3.346
NLD 4 4.313 3.596 3.039 2.827 3.198
NLD 5 3.566 3.183 2.757 2.796 3.352
NLD 6 3.167 3.059 3.15 3.628 3.984
NLD 7 3.126 3.232 3.776 4.62 4.643
NLD 8 3.519 3.531 3.996 5.146 5.297
NLD 9 3.942 3.781 3.645 4.716 5.261
NLD 10 4.033 4.117 3.564 3.919 4.319
NLD 11 4.299 4.472 3.685 3.453 3.605
NLD 12 6.825 5.635 3.968 3.285 3.046
