regio maand P01 P05 P50 P95 P99
NZK 1 3.497 2.509 1.871 1.629 1.645
NZK 2 3.948 2.911 1.786 1.626 1.769
NZK 3 3.583 2.754 1.775 1.847 2.08
NZK 4 2.689 2.214 1.661 1.755 1.916
NZK 5 2.003 1.808 1.484 1.584 1.783
NZK 6 1.673 1.554 1.473 1.563 1.745
NZK 7 1.615 1.556 1.589 1.679 1.824
NZK 8 1.721 1.764 1.731 1.923 2.027
NZK 9 1.993 2.134 1.945 2.029 2.104
NZK 10 2.329 2.38 2.113 1.964 1.923
NZK 11 2.535 2.358 2.158 2.005 1.953
NZK 12 2.976 2.285 2.036 1.868 1.844
NWN 1 4.1 2.73 1.914 1.533 1.584
NWN 2 4.687 3.161 1.814 1.56 1.83
NWN 3 4.242 2.994 1.761 1.883 2.306
NWN 4 3.075 2.342 1.591 1.815 2.113
NWN 5 2.126 1.824 1.398 1.608 1.864
NWN 6 1.655 1.553 1.474 1.582 1.694
NWN 7 1.609 1.608 1.661 1.748 1.802
NWN 8 1.778 1.863 1.814 2.083 2.149
NWN 9 2.064 2.224 2.001 2.145 2.308
NWN 10 2.383 2.457 2.158 2.012 2.019
NWN 11 2.545 2.467 2.202 1.993 1.915
NWN 12 3.252 2.482 2.095 1.784 1.724
ZWN 1 4.64 2.843 1.9 1.561 1.486
ZWN 2 5.268 3.372 1.81 1.568 1.758
ZWN 3 4.563 3.089 1.739 1.925 2.392
ZWN 4 3.12 2.323 1.536 1.874 2.214
ZWN 5 2.091 1.781 1.33 1.655 1.94
ZWN 6 1.649 1.54 1.459 1.659 1.941
ZWN 7 1.627 1.621 1.721 1.994 2.196
ZWN 8 1.823 1.887 1.893 2.392 2.552
ZWN 9 2.154 2.232 2.042 2.398 2.576
ZWN 10 2.507 2.458 2.173 2.083 2.121
ZWN 11 2.732 2.481 2.207 1.953 1.949
ZWN 12 3.596 2.521 2.098 1.781 1.721
ZON 1 4.994 3.187 1.957 1.646 1.589
ZON 2 5.53 3.69 1.906 1.728 1.867
ZON 3 5.014 3.233 1.792 2.136 2.511
ZON 4 3.58 2.382 1.533 2.053 2.285
ZON 5 2.242 1.789 1.304 1.792 1.987
ZON 6 1.58 1.548 1.454 1.818 2.086
ZON 7 1.592 1.619 1.761 2.206 2.46
ZON 8 1.83 1.878 1.976 2.626 2.961
ZON 9 2.138 2.209 2.097 2.486 2.757
ZON 10 2.465 2.457 2.205 2.108 2.2
ZON 11 2.836 2.497 2.249 1.957 2.076
ZON 12 3.963 2.693 2.137 1.82 1.855
MON 1 4.702 3.083 1.998 1.597 1.472
MON 2 5.286 3.521 1.93 1.694 1.794
MON 3 4.787 3.14 1.828 2.106 2.451
MON 4 3.373 2.39 1.572 2.027 2.246
MON 5 2.199 1.846 1.342 1.78 1.969
MON 6 1.657 1.566 1.426 1.718 1.973
MON 7 1.64 1.625 1.645 1.941 2.22
MON 8 1.855 1.902 1.848 2.322 2.657
MON 9 2.079 2.26 2.061 2.363 2.628
MON 10 2.336 2.485 2.217 2.143 2.214
MON 11 2.642 2.486 2.266 2.016 2.024
MON 12 3.735 2.672 2.172 1.788 1.676
NON 1 4.558 3.023 2.055 1.609 1.606
NON 2 4.89 3.437 1.978 1.707 1.891
NON 3 4.447 3.13 1.895 2.04 2.381
NON 4 3.221 2.417 1.656 1.938 2.157
NON 5 2.142 1.882 1.415 1.746 1.956
NON 6 1.702 1.591 1.435 1.713 1.957
NON 7 1.696 1.628 1.605 1.816 2.1
NON 8 1.851 1.872 1.806 2.112 2.388
NON 9 1.934 2.226 2.044 2.21 2.398
NON 10 2.167 2.464 2.217 2.09 2.131
NON 11 2.547 2.449 2.283 2.028 1.998
NON 12 3.848 2.628 2.215 1.8 1.728
NLD 1 4.643 3.008 1.986 1.599 1.552
NLD 2 5.138 3.466 1.911 1.67 1.837
NLD 3 4.621 3.134 1.823 2.035 2.412
NLD 4 3.284 2.383 1.589 1.952 2.202
NLD 5 2.16 1.834 1.363 1.73 1.952
NLD 6 1.657 1.565 1.445 1.711 1.958
NLD 7 1.646 1.623 1.669 1.94 2.181
NLD 8 1.838 1.882 1.863 2.297 2.553
NLD 9 2.054 2.23 2.053 2.32 2.532
NLD 10 2.34 2.465 2.201 2.095 2.148
NLD 11 2.658 2.474 2.253 1.995 2.002
NLD 12 3.752 2.618 2.161 1.797 1.74
