regio maand P01 P05 P50 P95 P99
NZK 1 3.27 2.976 1.394 0.948 0.813
NZK 2 4.147 3.223 1.502 1.011 0.815
NZK 3 2.999 2.164 1.39 0.934 0.854
NZK 4 1.766 1.413 1.166 0.807 0.867
NZK 5 1.387 1.22 1.027 0.863 1.049
NZK 6 1.301 1.238 1.101 1.229 1.361
NZK 7 1.166 1.196 1.174 1.408 1.477
NZK 8 1.205 1.206 1.186 1.396 1.414
NZK 9 1.456 1.255 1.169 1.232 1.266
NZK 10 1.614 1.322 1.215 1.073 1.087
NZK 11 1.53 1.346 1.264 0.94 0.873
NZK 12 1.959 2.069 1.308 0.895 0.787
NWN 1 4.348 3.765 1.483 0.91 0.782
NWN 2 5.141 3.958 1.577 0.958 0.706
NWN 3 3.466 2.303 1.456 0.906 0.763
NWN 4 1.792 1.329 1.193 0.792 0.898
NWN 5 1.367 1.184 1.021 0.868 1.168
NWN 6 1.472 1.399 1.156 1.284 1.519
NWN 7 1.371 1.382 1.278 1.528 1.63
NWN 8 1.412 1.388 1.282 1.521 1.551
NWN 9 1.692 1.462 1.231 1.326 1.376
NWN 10 1.825 1.497 1.284 1.169 1.179
NWN 11 1.769 1.518 1.339 1.03 0.946
NWN 12 2.743 2.569 1.41 0.9 0.813
ZWN 1 4.463 3.953 1.44 0.919 0.742
ZWN 2 5.254 4.093 1.559 0.972 0.639
ZWN 3 3.702 2.383 1.432 0.918 0.739
ZWN 4 1.974 1.33 1.166 0.837 0.862
ZWN 5 1.452 1.142 0.996 1.038 1.167
ZWN 6 1.483 1.365 1.174 1.464 1.655
ZWN 7 1.321 1.345 1.316 1.629 1.803
ZWN 8 1.364 1.374 1.32 1.581 1.695
ZWN 9 1.775 1.512 1.241 1.342 1.349
ZWN 10 1.826 1.532 1.292 1.223 1.094
ZWN 11 1.565 1.505 1.358 1.126 0.94
ZWN 12 2.626 2.667 1.383 0.951 0.816
ZON 1 4.594 4.485 1.472 0.96 0.845
ZON 2 5.001 4.514 1.59 0.996 0.688
ZON 3 3.655 2.585 1.461 0.947 0.741
ZON 4 2.236 1.429 1.169 0.86 0.857
ZON 5 1.648 1.207 0.96 1.043 1.179
ZON 6 1.459 1.405 1.169 1.49 1.686
ZON 7 1.255 1.313 1.352 1.705 1.859
ZON 8 1.341 1.305 1.36 1.705 1.845
ZON 9 1.747 1.42 1.255 1.421 1.493
ZON 10 1.627 1.41 1.312 1.258 1.182
ZON 11 1.393 1.472 1.435 1.183 1.035
ZON 12 2.77 3.065 1.467 1.027 0.949
MON 1 4.74 4.38 1.564 0.96 0.88
MON 2 5.34 4.416 1.675 1.02 0.713
MON 3 3.829 2.496 1.525 0.933 0.763
MON 4 2.097 1.38 1.231 0.83 0.96
MON 5 1.52 1.214 1.029 0.96 1.269
MON 6 1.523 1.454 1.187 1.333 1.467
MON 7 1.377 1.376 1.321 1.549 1.526
MON 8 1.456 1.38 1.302 1.582 1.572
MON 9 1.78 1.475 1.246 1.37 1.415
MON 10 1.825 1.479 1.33 1.209 1.172
MON 11 1.85 1.502 1.415 1.107 0.993
MON 12 3.045 2.992 1.485 0.977 0.933
NON 1 4.243 4.038 1.593 1.052 0.855
NON 2 4.738 4.11 1.722 1.096 0.706
NON 3 3.704 2.412 1.565 0.92 0.742
NON 4 2.121 1.379 1.289 0.784 0.928
NON 5 1.511 1.21 1.103 0.86 1.189
NON 6 1.54 1.433 1.205 1.215 1.37
NON 7 1.446 1.439 1.288 1.444 1.463
NON 8 1.52 1.436 1.269 1.45 1.48
NON 9 1.699 1.454 1.253 1.27 1.322
NON 10 1.815 1.489 1.329 1.14 1.125
NON 11 2.024 1.506 1.386 1.054 0.938
NON 12 3.016 2.805 1.475 0.991 0.889
NLD 1 4.444 4.147 1.527 0.981 0.829
NLD 2 5.025 4.227 1.645 1.028 0.691
NLD 3 3.693 2.445 1.503 0.927 0.749
NLD 4 2.081 1.375 1.223 0.818 0.907
NLD 5 1.515 1.196 1.034 0.947 1.197
NLD 6 1.505 1.415 1.185 1.341 1.514
NLD 7 1.367 1.38 1.311 1.554 1.627
NLD 8 1.435 1.385 1.303 1.552 1.61
NLD 9 1.735 1.462 1.248 1.333 1.379
NLD 10 1.787 1.481 1.316 1.191 1.142
NLD 11 1.773 1.5 1.393 1.098 0.969
NLD 12 2.881 2.842 1.453 0.98 0.888
