regio maand P01 P05 P50 P95 P99
NZK 1 7.597 5.913 3.829 3.034 2.878
NZK 2 7.494 5.511 3.518 2.767 2.661
NZK 3 5.444 4.087 3.456 2.753 2.7
NZK 4 4.187 3.586 3.345 2.73 2.696
NZK 5 3.685 3.394 3.056 2.643 2.672
NZK 6 3.334 3.249 3.024 2.978 2.91
NZK 7 3.248 3.28 3.287 3.493 3.485
NZK 8 3.487 3.486 3.484 3.887 4.034
NZK 9 3.74 3.751 3.471 3.907 4.245
NZK 10 3.86 4.054 3.562 3.624 3.89
NZK 11 4.067 4.227 3.733 3.437 3.571
NZK 12 6.108 5.137 3.934 3.323 3.209
NWN 1 9.102 6.493 4.086 3.087 2.921
NWN 2 9.094 6.069 3.746 2.785 2.644
NWN 3 6.379 4.26 3.685 2.778 2.64
NWN 4 4.509 3.702 3.537 2.779 2.807
NWN 5 3.784 3.549 3.198 2.713 2.909
NWN 6 3.515 3.509 3.25 3.158 3.228
NWN 7 3.571 3.603 3.589 3.764 3.813
NWN 8 3.85 3.792 3.775 4.174 4.333
NWN 9 3.934 3.958 3.698 4.172 4.508
NWN 10 4.075 4.286 3.768 3.855 4.139
NWN 11 4.487 4.526 3.915 3.59 3.723
NWN 12 7.12 5.551 4.18 3.392 3.22
ZWN 1 9.744 7.002 4.04 3.17 2.828
ZWN 2 9.511 6.452 3.713 2.849 2.564
ZWN 3 6.671 4.471 3.694 2.87 2.647
ZWN 4 4.766 3.847 3.592 2.938 2.931
ZWN 5 3.907 3.588 3.26 2.96 3.269
ZWN 6 3.63 3.549 3.315 3.491 3.907
ZWN 7 3.698 3.703 3.69 4.151 4.566
ZWN 8 3.974 3.932 3.9 4.53 4.892
ZWN 9 3.922 4.035 3.788 4.402 4.816
ZWN 10 3.829 4.24 3.78 3.979 4.278
ZWN 11 4.306 4.474 3.872 3.618 3.733
ZWN 12 7.576 5.869 4.144 3.415 3.148
ZON 1 10.953 8.162 4.103 3.204 2.917
ZON 2 10.459 7.436 3.795 2.949 2.745
ZON 3 7.243 4.82 3.82 2.999 2.9
ZON 4 4.971 3.95 3.676 3.061 3.198
ZON 5 3.898 3.612 3.239 3.155 3.632
ZON 6 3.719 3.62 3.321 3.809 4.342
ZON 7 3.832 3.786 3.787 4.496 4.926
ZON 8 4.1 4.006 4.002 4.84 5.216
ZON 9 3.898 4.014 3.82 4.582 4.986
ZON 10 3.824 4.109 3.808 4.019 4.316
ZON 11 4.817 4.465 3.934 3.644 3.785
ZON 12 8.764 6.697 4.202 3.454 3.204
MON 1 10.815 7.67 4.206 3.235 2.866
MON 2 10.438 7.052 3.873 2.974 2.651
MON 3 6.736 4.493 3.857 2.914 2.844
MON 4 4.488 3.774 3.701 2.906 3.173
MON 5 3.832 3.652 3.291 2.909 3.382
MON 6 3.76 3.628 3.317 3.388 3.687
MON 7 3.718 3.673 3.667 3.97 4.17
MON 8 4.01 3.907 3.85 4.391 4.657
MON 9 4.171 4.115 3.788 4.426 4.823
MON 10 4.219 4.311 3.856 4.035 4.384
MON 11 4.887 4.502 3.988 3.694 3.915
MON 12 8.449 6.256 4.277 3.486 3.228
NON 1 10.29 7.338 4.219 3.229 2.949
NON 2 10.088 6.805 3.876 2.928 2.689
NON 3 6.785 4.486 3.892 2.946 2.821
NON 4 4.497 3.813 3.745 2.955 3.038
NON 5 3.828 3.729 3.35 2.798 3.056
NON 6 3.694 3.655 3.312 3.038 3.249
NON 7 3.638 3.674 3.592 3.598 3.769
NON 8 3.981 3.897 3.757 4.048 4.378
NON 9 4.24 4.147 3.746 4.125 4.508
NON 10 4.398 4.398 3.86 3.872 4.067
NON 11 5.096 4.523 4.042 3.662 3.708
NON 12 8.297 6.052 4.31 3.514 3.277
NLD 1 10.297 7.419 4.15 3.201 2.902
NLD 2 10.019 6.839 3.819 2.913 2.665
NLD 3 6.799 4.529 3.816 2.922 2.793
NLD 4 4.633 3.828 3.677 2.947 3.054
NLD 5 3.849 3.648 3.288 2.907 3.254
NLD 6 3.681 3.61 3.311 3.344 3.658
NLD 7 3.695 3.695 3.662 3.954 4.213
NLD 8 3.997 3.918 3.85 4.362 4.68
NLD 9 4.076 4.077 3.771 4.324 4.713
NLD 10 4.123 4.286 3.827 3.949 4.219
NLD 11 4.807 4.499 3.97 3.649 3.768
NLD 12 8.172 6.134 4.242 3.467 3.225
