regio maand P01 P05 P50 P95 P99
NZK 1 1.837 1.532 0.901 0.747 0.699
NZK 2 2.451 1.824 0.838 0.703 0.812
NZK 3 2.375 1.623 0.662 0.676 0.911
NZK 4 1.68 1.178 0.595 0.74 0.914
NZK 5 1.162 0.929 0.64 0.808 0.916
NZK 6 0.879 0.833 0.793 1.076 1.161
NZK 7 0.825 0.803 0.818 1.052 1.16
NZK 8 0.964 0.877 0.83 0.977 1.116
NZK 9 1.277 1.024 0.928 1.043 1.12
NZK 10 1.215 1.006 0.966 1.033 1.029
NZK 11 0.99 0.96 0.915 0.938 0.899
NZK 12 1.255 1.27 0.912 0.811 0.691
NWN 1 2.027 1.584 0.937 0.711 0.657
NWN 2 2.564 1.888 0.836 0.652 0.88
NWN 3 2.322 1.7 0.591 0.656 1.13
NWN 4 1.564 1.205 0.509 0.738 1.091
NWN 5 1.054 0.897 0.55 0.819 0.943
NWN 6 0.861 0.782 0.757 1.135 1.177
NWN 7 0.88 0.753 0.811 1.091 1.251
NWN 8 1.028 0.849 0.835 1.043 1.236
NWN 9 1.263 1.059 0.936 1.137 1.113
NWN 10 1.222 1.078 0.981 1.143 1.045
NWN 11 1.067 1.044 0.945 1.036 0.997
NWN 12 1.406 1.329 0.949 0.838 0.68
ZWN 1 2.191 1.585 0.932 0.724 0.684
ZWN 2 2.809 1.986 0.831 0.651 0.826
ZWN 3 2.455 1.849 0.568 0.693 1.107
ZWN 4 1.685 1.257 0.45 0.804 1.227
ZWN 5 1.154 0.874 0.507 0.865 1.11
ZWN 6 0.809 0.716 0.799 1.176 1.256
ZWN 7 0.757 0.714 0.887 1.274 1.308
ZWN 8 0.859 0.824 0.888 1.238 1.302
ZWN 9 1.193 1.018 0.933 1.214 1.088
ZWN 10 1.215 1.036 0.94 1.179 1.105
ZWN 11 1.006 1.015 0.894 1.04 1.157
ZWN 12 1.321 1.308 0.936 0.844 0.789
ZON 1 2.066 1.594 1.013 0.779 0.804
ZON 2 2.493 1.851 0.916 0.699 0.899
ZON 3 2.261 1.709 0.548 0.763 1.148
ZON 4 1.655 1.236 0.418 0.836 1.277
ZON 5 1.212 0.882 0.495 0.867 1.15
ZON 6 0.922 0.717 0.803 1.163 1.241
ZON 7 0.812 0.742 0.9 1.267 1.351
ZON 8 0.874 0.864 0.909 1.265 1.362
ZON 9 1.235 1.019 0.965 1.157 0.982
ZON 10 1.322 1.035 0.941 1.081 0.956
ZON 11 1.123 1.05 0.871 1 1.126
ZON 12 1.307 1.371 0.973 0.889 0.897
MON 1 2.051 1.583 1.026 0.742 0.711
MON 2 2.343 1.87 0.906 0.686 0.887
MON 3 2.182 1.684 0.558 0.73 1.146
MON 4 1.582 1.194 0.436 0.839 1.156
MON 5 1.123 0.887 0.471 0.87 1.01
MON 6 0.914 0.805 0.735 1.102 1.227
MON 7 0.882 0.801 0.831 1.153 1.326
MON 8 1.019 0.888 0.855 1.181 1.376
MON 9 1.288 1.057 0.936 1.171 1.141
MON 10 1.24 1.07 0.968 1.108 1.057
MON 11 1.107 1.058 0.939 1.008 1.076
MON 12 1.53 1.34 1.017 0.862 0.787
NON 1 2.151 1.698 1.063 0.753 0.725
NON 2 2.377 2.001 0.953 0.699 0.945
NON 3 2.204 1.718 0.609 0.712 1.105
NON 4 1.557 1.19 0.48 0.825 1.055
NON 5 1.123 0.902 0.498 0.876 0.979
NON 6 0.909 0.826 0.693 1.079 1.237
NON 7 0.845 0.801 0.764 1.027 1.27
NON 8 1.042 0.901 0.814 1.063 1.383
NON 9 1.283 1.071 0.91 1.134 1.322
NON 10 1.228 1.073 0.954 1.058 1.096
NON 11 1.294 1.07 0.95 0.941 0.943
NON 12 1.855 1.403 1.045 0.832 0.71
NLD 1 2.116 1.627 1.012 0.747 0.724
NLD 2 2.496 1.936 0.905 0.684 0.897
NLD 3 2.272 1.734 0.579 0.718 1.123
NLD 4 1.606 1.214 0.457 0.819 1.152
NLD 5 1.139 0.89 0.499 0.867 1.039
NLD 6 0.89 0.777 0.747 1.122 1.234
NLD 7 0.833 0.769 0.829 1.147 1.3
NLD 8 0.972 0.872 0.855 1.153 1.347
NLD 9 1.257 1.048 0.932 1.161 1.16
NLD 10 1.244 1.059 0.954 1.103 1.059
NLD 11 1.152 1.053 0.922 0.992 1.048
NLD 12 1.55 1.362 0.997 0.851 0.773
