regio maand P01 P05 P50 P95 P99
NZK 1 4.148 3.535 2.058 1.769 1.751
NZK 2 4.121 3.516 1.882 1.661 1.707
NZK 3 3.25 2.87 1.877 1.651 1.66
NZK 4 2.596 2.323 1.801 1.563 1.602
NZK 5 2.118 1.958 1.612 1.558 1.665
NZK 6 1.862 1.807 1.727 2.073 2.224
NZK 7 1.776 1.78 1.911 2.364 2.649
NZK 8 1.895 1.906 2.029 2.529 2.918
NZK 9 2.277 2.069 1.946 2.349 2.678
NZK 10 2.7 2.301 1.965 2.125 2.263
NZK 11 3.045 2.66 2.106 2.031 2.083
NZK 12 3.68 3.233 2.204 1.95 1.898
NWN 1 4.814 3.793 2.114 1.673 1.696
NWN 2 4.573 3.815 1.854 1.561 1.665
NWN 3 3.464 3.109 1.769 1.58 1.594
NWN 4 2.73 2.38 1.645 1.437 1.489
NWN 5 2.107 1.867 1.432 1.534 1.653
NWN 6 1.787 1.753 1.74 2.403 2.654
NWN 7 1.793 1.788 2.055 2.874 3.306
NWN 8 1.969 1.953 2.187 3.044 3.656
NWN 9 2.348 2.133 1.991 2.599 3.091
NWN 10 2.859 2.404 1.967 2.229 2.398
NWN 11 3.315 2.831 2.134 2.071 2.119
NWN 12 4.185 3.425 2.3 1.933 1.873
ZWN 1 5.17 3.942 2.159 1.637 1.683
ZWN 2 5.161 3.947 1.823 1.551 1.658
ZWN 3 3.882 3.224 1.721 1.644 1.766
ZWN 4 2.782 2.385 1.609 1.523 1.77
ZWN 5 2.043 1.816 1.428 1.7 2.003
ZWN 6 1.818 1.759 1.926 2.756 3.119
ZWN 7 1.87 1.859 2.371 3.419 3.911
ZWN 8 1.996 2.016 2.492 3.575 4.03
ZWN 9 2.283 2.128 2.122 2.908 3.203
ZWN 10 2.777 2.392 1.996 2.361 2.486
ZWN 11 3.257 2.855 2.166 2.126 2.176
ZWN 12 4.259 3.552 2.396 1.93 1.892
ZON 1 5.552 4.161 2.37 1.801 1.86
ZON 2 5.36 4.04 1.968 1.712 1.809
ZON 3 3.997 3.237 1.765 1.799 1.83
ZON 4 2.994 2.44 1.618 1.669 1.837
ZON 5 2.102 1.812 1.448 1.746 2.132
ZON 6 1.815 1.757 2.078 2.744 3.271
ZON 7 1.867 1.895 2.601 3.506 4.147
ZON 8 1.953 2.058 2.722 3.752 4.325
ZON 9 2.215 2.097 2.188 3.02 3.117
ZON 10 2.705 2.352 2 2.474 2.219
ZON 11 3.258 2.828 2.249 2.276 2.03
ZON 12 4.567 3.702 2.614 2.07 1.968
MON 1 5.516 4.114 2.34 1.755 1.77
MON 2 5.148 3.967 1.986 1.667 1.721
MON 3 3.75 3.099 1.817 1.769 1.689
MON 4 2.844 2.329 1.639 1.653 1.635
MON 5 2.103 1.795 1.398 1.683 1.865
MON 6 1.821 1.801 1.876 2.558 2.963
MON 7 1.836 1.898 2.3 3.165 3.718
MON 8 2.021 2.031 2.437 3.352 4.021
MON 9 2.323 2.105 2.076 2.736 3.193
MON 10 2.746 2.387 1.983 2.295 2.393
MON 11 3.275 2.851 2.223 2.161 2.116
MON 12 4.654 3.661 2.551 2.019 1.935
NON 1 5.518 4.091 2.308 1.765 1.709
NON 2 5.13 3.999 2.009 1.702 1.664
NON 3 3.724 3.108 1.87 1.769 1.615
NON 4 2.807 2.358 1.681 1.591 1.532
NON 5 2.089 1.88 1.404 1.53 1.674
NON 6 1.779 1.823 1.74 2.285 2.581
NON 7 1.773 1.84 2.065 2.731 3.28
NON 8 2.001 1.983 2.214 2.918 3.772
NON 9 2.278 2.113 1.962 2.529 3.154
NON 10 2.66 2.37 1.945 2.232 2.374
NON 11 3.272 2.787 2.195 2.137 2.088
NON 12 4.74 3.581 2.488 1.992 1.879
NLD 1 5.392 4.056 2.281 1.738 1.744
NLD 2 5.134 3.976 1.949 1.656 1.703
NLD 3 3.788 3.15 1.803 1.734 1.698
NLD 4 2.839 2.374 1.644 1.591 1.65
NLD 5 2.089 1.838 1.418 1.632 1.856
NLD 6 1.803 1.789 1.863 2.521 2.89
NLD 7 1.823 1.86 2.266 3.097 3.646
NLD 8 1.992 2.009 2.401 3.288 3.959
NLD 9 2.282 2.113 2.059 2.737 3.157
NLD 10 2.724 2.378 1.975 2.313 2.373
NLD 11 3.271 2.824 2.2 2.16 2.102
NLD 12 4.548 3.601 2.49 1.995 1.909
