regio maand P01 P05 P50 P95 P99
NZK 1 4.149 3.165 2.77 2.736 2.807
NZK 2 4.505 3.538 2.561 2.641 2.843
NZK 3 4.45 3.64 2.561 2.788 3.044
NZK 4 3.816 3.222 2.384 2.446 2.695
NZK 5 3.163 2.784 2.148 1.952 2.208
NZK 6 2.684 2.55 2.29 2.095 2.353
NZK 7 2.675 2.648 2.732 2.858 3.144
NZK 8 3.054 2.974 3.192 3.642 3.947
NZK 9 3.659 3.476 3.442 3.972 4.123
NZK 10 3.981 3.765 3.418 3.666 3.711
NZK 11 4.054 3.697 3.325 3.377 3.414
NZK 12 3.941 3.219 3.088 3.054 3.024
NWN 1 4.821 3.404 2.777 2.699 2.796
NWN 2 5.082 3.885 2.539 2.654 3.033
NWN 3 4.584 3.812 2.493 2.874 3.302
NWN 4 3.741 3.183 2.227 2.45 2.86
NWN 5 3.004 2.662 1.961 1.75 2.212
NWN 6 2.652 2.501 2.259 2.007 2.403
NWN 7 2.765 2.692 2.886 3.152 3.533
NWN 8 3.124 3.068 3.411 4.17 4.598
NWN 9 3.575 3.5 3.543 4.33 4.479
NWN 10 3.964 3.795 3.446 3.793 3.718
NWN 11 4.265 3.814 3.351 3.321 3.198
NWN 12 4.496 3.383 3.143 2.977 2.841
ZWN 1 4.985 3.554 2.772 2.682 2.879
ZWN 2 5.196 4.029 2.491 2.717 3.106
ZWN 3 4.788 3.869 2.406 3.033 3.387
ZWN 4 3.949 3.15 2.074 2.643 3.078
ZWN 5 3.089 2.582 1.872 2.052 2.581
ZWN 6 2.624 2.427 2.403 2.487 2.84
ZWN 7 2.77 2.703 3.209 3.793 3.955
ZWN 8 3.161 3.144 3.765 4.846 4.91
ZWN 9 3.655 3.565 3.709 4.818 4.626
ZWN 10 4.079 3.859 3.492 4.004 3.839
ZWN 11 4.393 3.943 3.37 3.361 3.275
ZWN 12 4.615 3.536 3.192 2.954 2.942
ZON 1 5.484 3.851 2.916 2.84 3.103
ZON 2 5.578 4.221 2.656 2.96 3.445
ZON 3 4.851 3.915 2.466 3.197 3.581
ZON 4 4.041 3.194 2.054 2.727 3.179
ZON 5 3.173 2.557 1.841 2.18 2.781
ZON 6 2.658 2.418 2.44 2.711 3.074
ZON 7 2.784 2.772 3.335 4.07 4.088
ZON 8 3.148 3.218 3.956 5.147 5.116
ZON 9 3.727 3.621 3.85 4.888 4.912
ZON 10 4.235 3.918 3.549 3.948 3.997
ZON 11 4.578 4.002 3.417 3.32 3.347
ZON 12 4.943 3.736 3.306 3.023 3.005
MON 1 5.536 3.735 2.938 2.785 2.96
MON 2 5.544 4.145 2.679 2.781 3.268
MON 3 4.717 3.867 2.528 2.921 3.388
MON 4 3.858 3.169 2.133 2.507 2.961
MON 5 3.053 2.619 1.839 1.919 2.471
MON 6 2.613 2.491 2.227 2.34 2.771
MON 7 2.771 2.742 2.978 3.597 3.845
MON 8 3.169 3.157 3.589 4.663 4.865
MON 9 3.557 3.551 3.69 4.599 4.664
MON 10 3.991 3.841 3.524 3.857 3.774
MON 11 4.367 3.907 3.432 3.323 3.127
MON 12 4.996 3.625 3.306 3.029 2.874
NON 1 5.684 3.707 2.986 2.818 2.883
NON 2 5.795 4.178 2.76 2.772 3.194
NON 3 4.976 4.034 2.634 2.823 3.225
NON 4 3.967 3.351 2.225 2.358 2.709
NON 5 3.152 2.741 1.861 1.776 2.232
NON 6 2.648 2.495 2.113 2.127 2.616
NON 7 2.679 2.655 2.746 3.169 3.661
NON 8 3.12 3.058 3.334 4.172 4.717
NON 9 3.581 3.537 3.578 4.432 4.691
NON 10 3.925 3.822 3.518 3.887 3.852
NON 11 4.268 3.839 3.457 3.372 3.207
NON 12 5.076 3.566 3.312 3.059 2.834
NLD 1 5.413 3.684 2.906 2.78 2.93
NLD 2 5.535 4.128 2.655 2.788 3.225
NLD 3 4.837 3.932 2.527 2.955 3.359
NLD 4 3.939 3.235 2.147 2.517 2.926
NLD 5 3.113 2.646 1.863 1.928 2.443
NLD 6 2.639 2.469 2.262 2.331 2.757
NLD 7 2.741 2.707 2.999 3.53 3.822
NLD 8 3.143 3.124 3.588 4.571 4.845
NLD 9 3.619 3.558 3.673 4.613 4.696
NLD 10 4.03 3.849 3.514 3.907 3.851
NLD 11 4.367 3.9 3.419 3.347 3.231
NLD 12 4.898 3.589 3.274 3.021 2.894
