regio maand P01 P05 P50 P95 P99
NZK 1 1.655 1.764 0.931 0.706 0.775
NZK 2 2.089 1.927 0.884 0.726 0.869
NZK 3 1.891 1.51 0.773 0.746 0.819
NZK 4 1.407 1.037 0.63 0.588 0.64
NZK 5 1.057 0.807 0.544 0.544 0.627
NZK 6 0.807 0.734 0.637 0.836 0.97
NZK 7 0.736 0.738 0.749 1.008 1.152
NZK 8 0.814 0.813 0.836 1.057 1.2
NZK 9 1.054 0.9 0.893 1.01 1.173
NZK 10 1.193 0.998 0.894 0.876 1.054
NZK 11 1.166 1.125 0.929 0.847 0.952
NZK 12 1.143 1.467 0.966 0.794 0.797
NWN 1 2.071 1.927 0.986 0.673 0.799
NWN 2 2.229 2.095 0.905 0.702 0.917
NWN 3 1.767 1.625 0.719 0.736 0.855
NWN 4 1.339 1.059 0.521 0.468 0.551
NWN 5 1.03 0.768 0.405 0.392 0.367
NWN 6 0.805 0.691 0.555 0.775 0.796
NWN 7 0.783 0.719 0.721 1.029 1.256
NWN 8 0.87 0.818 0.832 1.151 1.485
NWN 9 1.029 0.929 0.903 1.072 1.288
NWN 10 1.2 1.041 0.907 0.894 1.091
NWN 11 1.299 1.192 0.959 0.878 1.018
NWN 12 1.542 1.571 1.019 0.816 0.836
ZWN 1 2.305 1.957 0.967 0.688 0.827
ZWN 2 2.377 2.17 0.88 0.705 0.983
ZWN 3 1.898 1.727 0.692 0.78 0.933
ZWN 4 1.47 1.114 0.452 0.535 0.649
ZWN 5 1.127 0.768 0.355 0.392 0.538
ZWN 6 0.773 0.65 0.588 0.727 0.982
ZWN 7 0.692 0.696 0.794 1.12 1.347
ZWN 8 0.751 0.804 0.895 1.317 1.452
ZWN 9 0.989 0.926 0.905 1.17 1.301
ZWN 10 1.195 1.014 0.879 0.933 1.234
ZWN 11 1.276 1.14 0.932 0.916 1.21
ZWN 12 1.68 1.571 1.02 0.849 0.903
ZON 1 2.496 2.057 1.079 0.746 0.928
ZON 2 2.455 2.128 0.965 0.764 1.085
ZON 3 1.878 1.689 0.696 0.875 0.964
ZON 4 1.456 1.139 0.417 0.649 0.649
ZON 5 1.084 0.749 0.319 0.482 0.546
ZON 6 0.742 0.607 0.59 0.746 1.054
ZON 7 0.689 0.714 0.83 1.112 1.338
ZON 8 0.744 0.836 0.931 1.309 1.38
ZON 9 0.94 0.898 0.923 1.122 1.175
ZON 10 1.128 0.974 0.877 0.903 1.109
ZON 11 1.233 1.125 0.936 0.958 1.171
ZON 12 1.781 1.661 1.111 0.915 0.951
MON 1 2.423 2.05 1.091 0.694 0.864
MON 2 2.352 2.094 0.98 0.708 0.994
MON 3 1.759 1.615 0.713 0.808 0.875
MON 4 1.296 1.076 0.448 0.63 0.568
MON 5 1.026 0.757 0.311 0.537 0.448
MON 6 0.783 0.679 0.529 0.817 0.931
MON 7 0.712 0.746 0.747 1.098 1.241
MON 8 0.793 0.833 0.859 1.245 1.37
MON 9 0.995 0.912 0.903 1.075 1.249
MON 10 1.147 1.012 0.911 0.896 1.112
MON 11 1.295 1.192 0.991 0.944 1.082
MON 12 1.823 1.683 1.122 0.887 0.904
NON 1 2.141 2.043 1.1 0.703 0.841
NON 2 2.212 2.11 1.001 0.732 0.956
NON 3 1.876 1.614 0.728 0.8 0.768
NON 4 1.401 1.089 0.474 0.581 0.447
NON 5 1.046 0.789 0.343 0.513 0.438
NON 6 0.777 0.691 0.519 0.847 0.951
NON 7 0.727 0.728 0.705 1.074 1.177
NON 8 0.849 0.833 0.827 1.2 1.339
NON 9 0.961 0.916 0.89 1.091 1.289
NON 10 1.061 1.003 0.907 0.913 1.101
NON 11 1.297 1.184 0.99 0.917 1.036
NON 12 1.698 1.667 1.115 0.85 0.877
NLD 1 2.284 2.022 1.061 0.704 0.856
NLD 2 2.319 2.121 0.961 0.726 0.99
NLD 3 1.85 1.651 0.712 0.806 0.864
NLD 4 1.399 1.098 0.458 0.584 0.556
NLD 5 1.063 0.77 0.34 0.477 0.475
NLD 6 0.773 0.665 0.551 0.793 0.96
NLD 7 0.714 0.722 0.755 1.09 1.257
NLD 8 0.802 0.827 0.866 1.246 1.384
NLD 9 0.974 0.915 0.903 1.107 1.262
NLD 10 1.126 1.005 0.897 0.911 1.13
NLD 11 1.278 1.167 0.967 0.927 1.102
NLD 12 1.717 1.644 1.09 0.866 0.898
